address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
33 Sheppard Ave E 3001 Toronto,1,1,Condo Apt Apartment,3600,600-699,C9262133,600,699,649.5,Condo Apartment,Apartment
195 McCaul St 505 Toronto,1+1,2,Condo Apt Apartment,3600,700-799,C9394301,700,799,749.5,Condo Apartment,Apartment
505 Richmond St W 911 Toronto,1+1,1,Condo Apt Apartment,3600,600-699,C9373508,600,699,649.5,Condo Apartment,Apartment
128 Pears Ave 302 Toronto,1+1,1,Condo Apt Apartment,3650,700-799,C10407372,700,799,749.5,Condo Apartment,Apartment
131 Bloor St W 504 Toronto,1,1,Other Apartment,3668,900-999,C9359659,900,999,949.5,Other,Apartment
131 Bloor St W 814 Toronto,1,1,Other Apartment,3668,800-899,C9307189,800,899,849.5,Other,Apartment
131 Bloor St W 512 Toronto,1,1,Other Apartment,3668,800-899,C9307188,800,899,849.5,Other,Apartment
8 The Esplanade 4903 Toronto,1,1,Condo Apt Apartment,3700,600-699,C9767823,600,699,649.5,Condo Apartment,Apartment
33 Harbour Sq 1231 Toronto,1+1,1,Condo Apt 2-Storey,3700,1000-1199,C9306266,1000,1199,1099.5,Condo Apartment,2-Storey
195 McCaul St Toronto,1+1,1,Condo Apt Apartment,3700,1200-1399,C9417723,1200,1399,1299.5,Condo Apartment,Apartment
380 Macpherson Ave 217 Toronto,1+1,1,Comm Element Condo Apartment,3750,800-899,C10428342,800,899,849.5,Common Element Condo,Apartment
1300 Islington Ave 1702 Toronto,1,2,Condo Apt Apartment,3750,1000-1199,W9356141,1000,1199,1099.5,Condo Apartment,Apartment
102 Bloor St W 803 Toronto,1,2,Condo Apt Apartment,3795,1000-1199,C10875045,1000,1199,1099.5,Condo Apartment,Apartment
10 Yonge St 2413 Toronto,1+1,2,Condo Apt Apartment,3800,900-999,C10432758,900,999,949.5,Condo Apartment,Apartment
633 Bay St PH15 Toronto,1+1,2,Condo Apt Apartment,3800,900-999,C9299759,900,999,949.5,Condo Apartment,Apartment
2267 Lake Shore Blvd W 1301 Toronto,1+1,2,Condo Apt Apartment,3800,900-999,W10419897,900,999,949.5,Condo Apartment,Apartment
151 Avenue Rd 704 Toronto,1+1,2,Condo Apt Apartment,3800,800-899,C9512486,800,899,849.5,Condo Apartment,Apartment
670 Richmond St W 105 Toronto,1,1,Condo Apt Loft,3800,700-799,C9508019,700,799,749.5,Condo Apartment,Loft
128 Pears Ave 505 Toronto,1+1,1,Comm Element Condo Apartment,3850,700-799,C10407434,700,799,749.5,Common Element Condo,Apartment
560 King St W 1112 Toronto,1+1,1,Condo Apt Loft,3850,800-899,C9300277,800,899,849.5,Condo Apartment,Loft
1 Scott St 208 Toronto,1,2,Condo Apt Loft,3950,1000-1199,C10442703,1000,1199,1099.5,Condo Apartment,Loft
55 Cooper St Ph207 Toronto,1,1,Condo Apt Apartment,3950,600-699,C8060228,600,699,649.5,Condo Apartment,Apartment
637 Lake Shore Blvd 504 Toronto,1,2,Condo Apt Loft,4000,1000-1199,C9419882,1000,1199,1099.5,Condo Apartment,Loft
181 Davenport Rd 802 Toronto,1,1,Condo Apt Apartment,4000,700-799,C10425213,700,799,749.5,Condo Apartment,Apartment
181 Davenport Rd 802 Toronto,1,1,Condo Apt Apartment,4000,700-799,C10422725,700,799,749.5,Condo Apartment,Apartment
60 Bathurst St PH 1008 Toronto,1+1,2,Condo Apt 2-Storey,4000,1000-1199,C10409371,1000,1199,1099.5,Condo Apartment,2-Storey
300 Front St W 1705 Toronto,1,1,Condo Apt Apartment,4000,600-699,C8446916,600,699,649.5,Condo Apartment,Apartment
480 Front St 1513 Toronto,1,1,Condo Apt Apartment,4100,500-599,C9391781,500,599,549.5,Condo Apartment,Apartment
2213 Kingston Rd 105 Toronto,1,1,Condo Apt Apartment,4100,1000-1199,E10421744,1000,1199,1099.5,Condo Apartment,Apartment
899 College St 608 Toronto,1+1,2,Condo Apt Apartment,4200,900-999,C9416826,900,999,949.5,Condo Apartment,Apartment
383 Ellis Park Rd 608 Toronto,1+1,1,Condo Apt Apartment,4200,900-999,W10428869,900,999,949.5,Condo Apartment,Apartment
380 Macpherson Ave 314 Toronto,1+1,1,Comm Element Condo Loft,4200,800-899,C9051796,800,899,849.5,Common Element Condo,Loft
180 University Ave 2004 Toronto,1,1,Condo Apt Apartment,4200,800-899,C10410775,800,899,849.5,Condo Apartment,Apartment
3 Marine Parade Dr 1705 Toronto,1+1,1,Condo Apt Apartment,4300,700-799,W9397498,700,799,749.5,Condo Apartment,Apartment
588 Annette St 503 Toronto,1+1,2,Condo Apt Apartment,4300,1000-1199,W9237286,1000,1199,1099.5,Condo Apartment,Apartment
188 Cumberland St 308 Toronto,1+1,1,Condo Apt Apartment,4400,1200-1399,C9282871,1200,1399,1299.5,Condo Apartment,Apartment
175 Jones Ave 1 Toronto,1+1,2,Condo Apt 3-Storey,4500,1000-1199,E10409742,1000,1199,1099.5,Condo Apartment,3-Storey
160 Baldwin St 405 Toronto,1,1,Condo Apt Apartment,4500,800-899,C10926776,800,899,849.5,Condo Apartment,Apartment
170 Avenue Rd 211 Toronto,1+1,1,Condo Apt Apartment,4600,800-899,C9270971,800,899,849.5,Condo Apartment,Apartment
21 Nelson St UPH19 Toronto,1+1,2,Condo Apt Loft,4700,1200-1399,C10415387,1200,1399,1299.5,Condo Apartment,Loft
180 University Ave 4104 Toronto,1,1,Condo Apt Apartment,4700,800-899,C9350405,800,899,849.5,Condo Apartment,Apartment
180 University Ave 4202 Toronto,1,1,Condo Apt Apartment,4700,800-899,C10744070,800,899,849.5,Condo Apartment,Apartment
318 King St E 1104 Toronto,1+1,2,Condo Apt Apartment,4750,1000-1199,C9299655,1000,1199,1099.5,Condo Apartment,Apartment
180 University Ave 2902 Toronto,1,1,Condo Apt Apartment,4750,800-899,C9364461,800,899,849.5,Condo Apartment,Apartment
21 Iceboat Terr 4001 Toronto,1+1,1,Condo Apt Apartment,4800,600-699,C9358156,600,699,649.5,Condo Apartment,Apartment
993 Queen St W 417 Toronto,1,1,Condo Apt Loft,4800,1400-1599,C10430437,1400,1599,1499.5,Condo Apartment,Loft
2 Avenue Rd 1401 Toronto,1+1,2,Condo Apt Apartment,4995,1000-1199,C9351016,1000,1199,1099.5,Condo Apartment,Apartment
180 University Ave 3104 Toronto,1,1,Condo Apt Apartment,5000,800-899,C10429809,800,899,849.5,Condo Apartment,Apartment
180 University Ave 1904 Toronto,1,1,Condo Apt Apartment,5000,800-899,C9510210,800,899,849.5,Condo Apartment,Apartment
150 Logan Ave 233 Toronto,1,2,Comm Element Condo Loft,5500,800-899,E10417813,800,899,849.5,Common Element Condo,Loft
