address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
18 Harbour St 1207 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C9416896,600,699,649.5,Condo Apartment,Apartment
55 Charles St E 3507 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C9513186,600,699,649.5,Condo Apartment,Apartment
39 Roehampton Ave 3510 Toronto,1+1,2,Condo Apt Apartment,2650,600-699,C9305909,600,699,649.5,Condo Apartment,Apartment
105 The Queensway Ave 2515 Toronto,1+1,1,Condo Apt Apartment,2650,700-799,W10427680,700,799,749.5,Condo Apartment,Apartment
5 Valhalla Inn Rd 506 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,W9416957,600,699,649.5,Condo Apartment,Apartment
28 Ted Rogers Way 3207 Toronto,1,2,Condo Apt Apartment,2650,600-699,C10404742,600,699,649.5,Condo Apartment,Apartment
75 The Donway W 906 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C9295091,600,699,649.5,Condo Apartment,Apartment
10 Deerlick Crt 1217 Toronto,1+1,2,Condo Apt Apartment,2650,600-699,C10426131,600,699,649.5,Condo Apartment,Apartment
125 Blue Jays Way 1901 Toronto,1+1,1,Condo Apt Apartment,2650,500-599,C10408444,500,599,549.5,Condo Apartment,Apartment
75 East Liberty St 1809 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C10426610,600,699,649.5,Condo Apartment,Apartment
20 SHOREBREEZE Dr 3802 Toronto,1+1,1,Condo Apt Apartment,2650,500-599,W10433933,500,599,549.5,Condo Apartment,Apartment
18 Holmes Ave 2615 Toronto,1+1,1,Condo Apt Apartment,2650,600-699,C10426008,600,699,649.5,Condo Apartment,Apartment
