address,beds,baths,type,price,SqFt,listing#
127 Broadway Ave 302 Toronto,1,1,Condo Apt Apartment,1950,0-499,C10422618
781 St Clair Ave W 5 Toronto,1,1,Other Apartment,1950,0-499,C10874895
500 Wilson Ave 637 Toronto,1,1,Condo Apt Apartment,1950,0-499,C10707946
127 Broadway Ave 1507 Toronto,1,1,Condo Apt Apartment,1950,500-599,C10433377
117 Broadway Ave 308 Toronto,1,1,Condo Apt Apartment,1975,0-499,C10707743
420 Eglinton Ave E 301 Toronto,1,1,Condo Apt Apartment,1975,500-599,C10431315
191 St George St 804 Toronto,1,1,Condo Apt Apartment,1975,600-699,C9374627
2515 Eglinton Ave W 301 Toronto,1,1,Condo Apt Apartment,1975,600-699,W9012948
77 SHUTER St 1915 Toronto,1,1,Condo Apt Apartment,1980,0-499,C10411546
127 Broadway Ave 1610 Toronto,1,1,Condo Apt Apartment,1980,500-599,C10429969
117 BROADWAY Ave N 311 Toronto,1,1,Condo Apt Apartment,1995,0-499,C10430564
1 Triller Ave 308 Toronto,1,1,Condo Apt Apartment,1995,500-599,W9767851
630 Queen St E 416 Toronto,1,1,Condo Apt Apartment,1995,500-599,E10411321
1401 Dupont St 227 Toronto,1,1,Condo Apt Apartment,1999,500-599,W9262276
105 The Queensway 409 Toronto,1,1,Condo Apt Apartment,1999,500-599,W10427461
9 Croham Rd 215 Toronto,1,1,Condo Apt Apartment,1999,500-599,W10423955
9 Croham Rd 314 Toronto,1,1,Condo Apt Apartment,1999,500-599,W10423930
2895 Bathurst St 309 Toronto,1,1,Co-Op Apt Apartment,1999,700-799,C10428584
3 Swift Dr 409 Toronto,1,1,Other Apartment,2000,700-799,C10424653
219 Dundas St E 2215 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10273551
251 Jarvis St 318 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10427807
1401 Dupont St 123 Toronto,1,1,Co-Ownership Apt Apartment,2000,500-599,W9393500
887 bay St 1612 Toronto,1+1,1,Comm Element Condo Apartment,2000,1000-1199,C10428088
195 McCaul St 419 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9416149
399 Dupont St 202 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9923406
117 Broadway Ave 312 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10421088
230 Simcoe St 2213 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10432517
65 St Mary St 2502 Toronto,1,1,Condo Apt Apartment,2000,800-899,C9392190
20 Meadowglen Pl 634 Toronto,1,1,Condo Apt Apartment,2000,500-599,E10400941
127 Broadway Ave 1006 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10422638
896 Eglinton Ave E 110 Toronto,1,1,Condo Apt Apartment,2000,600-699,C10403078
1195 The Queensway 209 Toronto,1,1,Condo Apt Apartment,2000,500-599,W10407681
1195 The Queensway 208 Toronto,1,1,Condo Apt Apartment,2000,500-599,W10412593
230 Simcoe St 2220 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10845423
1401 Dupont St 232 Toronto,1,1,Co-Op Apt Apartment,2000,500-599,W9393114
1407 Dupont St 202 Toronto,1,1,Co-Op Apt Apartment,2000,500-599,W10440524
165 Cosburn Ave 602 Toronto,1,1,Condo Apt Apartment,2000,800-899,E10441771
719 Lawrence Ave W 49 Toronto,1,1,Condo Townhouse 2-Storey,2000,600-699,W9385544
103 The Queensway 1211 Toronto,1,1,Condo Apt Apartment,2000,0-499,W10404583
127 Broadway Ave 616S Toronto,1,1,Condo Apt Apartment,2000,500-599,C10422614
11 Wincott Dr 602 Toronto,1,1,Condo Apt Apartment,2000,900-999,W10431061
500 Wilson Ave 627 Toronto,1+1,1,Condo Apt Apartment,2000,0-499,C10421917
195 McCaul St 603 Toronto,1,1,Condo Apt Apartment,2000,500-599,C9391768
130 River St 3006 Toronto,1,1,Comm Element Condo Bachelor/Studio,2000,0-499,C9418078
117 Broadway Ave 406 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10429677
126 Dundas St E 202 Toronto,1,1,Upper Level Apartment,2000,500-599,C10402964
425 front St E 704 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9418401
230 Simcoe St 2121 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10429351
30 Gloucester St 1903 Toronto,1,1,Co-Ownership Apt Apartment,2000,600-699,C10424393
90 Glen Everest Rd 704 Toronto,1,1,Condo Apt Apartment,2000,0-499,E10423301
1401 Dupont St 206 Toronto,1+1,1,Condo Apt Apartment,2000,600-699,W9800625
127 Broadway Ave 614S Toronto,1,1,Condo Apt Apartment,2000,500-599,C10430936
629 King St W 710 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10415747
68 Corporate Dr 1523 Toronto,1,1,Co-Op Apt Apartment,2000,600-699,E10429428
230 Simcoe St 2211 Toronto,1+0,1,Condo Apt Apartment,2000,0-499,C10429881
195 McCaul St 1214 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10416884
2470 Eglinton Ave W 106 Toronto,1,1,Condo Apt Apartment,2000,700-799,W10874727
215 Queen St W 1406 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9418929
2737 Keele St 215 Toronto,1,1,Condo Apt Apartment,2000,500-599,W9377439
195 McCaul St 1414 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10430477
319 Jarvis St 2005 Toronto,1,1,Condo Apt Apartment,2025,0-499,C9356775
270 Dufferin St N 922 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9874033
117 Broadway Ave 404 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10426144
127 Broadway Ave N 709 S Toronto,1,1,Condo Apt Apartment,2050,500-599,C10418904
500 Wilson Ave 619 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10415561
425 Front St E 803 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9508499
251 Jarvis St 420 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10707907
117 Broadway Ave 512 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10422814
215 Queen St W 1106 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9393977
68 Shuter St 1601 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10412058
629 King St W 1318 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10406137
117 BROADWAY Ave N 611 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10442681
29 Singer Crt 1906 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9512859
270 Dufferin St 325 Toronto,1,1,Condo Apt Apartment,2050,0-499,W9375222
117 Broadway Ave 606 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10430707
1285 Dupont St N 2108 Toronto,1,1,Condo Apt Apartment,2050,0-499,W9512984
1285 DuPont St 2707 Toronto,1,1,Condo Apt Apartment,2050,500-599,W10874939
117 Broadway Ave 604 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10416431
195 McCaul St 708 Toronto,1,1,Condo Apt Apartment,2050,500-599,C9394844
251 Jarvis St 3001 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10768546
500 Wilson Ave 727 Toronto,1+1,1,Condo Apt Apartment,2050,0-499,C10440532
35 Hayden St 615 Toronto,1,1,Condo Apt Apartment,2050,500-599,C9768083
215 Queen St W 1915 Toronto,1,1,Condo Apt Multi-Level,2050,0-499,C10416663
42 Charles St E 703 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9372793
127 Broadway Ave 1310 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10428810
251 Jarvis St 934 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10428833
2789 Eglinton Ave E 434 Toronto,1,1,Condo Townhouse Stacked Townhse,2050,500-599,E10446888
1285 Dupont St 808 Toronto,1,1,Condo Apt Apartment,2050,500-599,W9419964
195 McCaul St 312 Toronto,1+1,1,Condo Apt Loft,2050,500-599,C9349647
500 Dupont St 612 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9382946
1442 Lawrence Ave W 1011 Toronto,1,1,Condo Apt Apartment,2075,700-799,W9399446
1285 Dupont St 706 Toronto,1,1,Condo Apt Apartment,2075,500-599,W9375153
127 Broadway Ave N 610 S Toronto,1,1,Condo Apt Apartment,2075,500-599,C10442871
181 Dundas St E 3008 Toronto,1,1,Condo Apt Apartment,2075,0-499,C10415368
219 Dundas St E 1115 Toronto,1,1,Condo Apt Apartment,2080,500-599,C10845515
165 Canon Jackson Dr 508 Toronto,1,1,Condo Apt Apartment,2090,500-599,W9416321
721 Lawrence Ave W 67 Toronto,1,2,Condo Townhouse Stacked Townhse,2090,500-599,W9381561
108 PETER St 815 Toronto,1,1,Condo Apt Apartment,2095,0-499,C10874894
1 Falaise Rd 405 Toronto,1,1,Condo Apt Apartment,2099,500-599,E10428974
392 Jane St 102 Toronto,1,1,Condo Apt Apartment,2099,700-799,W10413206
127 Broadway Ave 415 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10417675
1285 Dupont St 2208 Toronto,1,1,Condo Apt Loft,2100,500-599,W10420818
1461 Lawrence Ave W 1303 Toronto,1,1,Condo Apt Apartment,2100,0-499,W10929178
150 Sudbury St 812 Toronto,1,1,Condo Apt Loft,2100,500-599,C10408606
320 Richmond St E 1518 Toronto,1,1,Condo Apt Apartment,2100,500-599,C9370472
319 Jarvis St 4305 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9510548
195 McCaul St 1313 Toronto,1,1,Condo Apt Apartment,2100,0-499,C10440951
127 Broadway Ave 1207 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10441539
2 Gladstone Ave 208 Toronto,1,1,Condo Apt Loft,2100,500-599,C9372776
1195 The Queensway 610 Toronto,1,1,Condo Apt Apartment,2100,500-599,W9416474
402 The East Mall 119 Toronto,1,1,Condo Townhouse Stacked Townhse,2100,500-599,W10428574
4K Spadina Ave 1018 Toronto,1,1,Condo Apt Apartment,2100,600-699,C10406214
77 Shuter St 2901 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10405715
195 Redpath Ave 1513 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9391094
32 Camden St 508 Toronto,1,1,Condo Apt Loft,2100,0-499,C9399786
