address,beds,baths,type,price,SqFt,listing#
155 Yorkville Ave 1105 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10410630
8 Eglinton Ave E 3810 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10406565
155 Canon Jackson Dr 107 Toronto,1,1,Condo Townhouse Stacked Townhse,2300,600-699,W9417878
352 Front Street W 511 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10350482
426 University Ave 2005 Toronto,1,1,Comm Element Condo Apartment,2300,500-599,C9512495
11 Wellesley St W 1313 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10430705
68 Canterbury Pl 303 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10421925
17 Bathurst St 1005 Toronto,1,1,Condo Apt Bachelor/Studio,2300,0-499,C9248989
761 Bay St 1707 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9418322
60 Princess St 814 SE Toronto,1,1,Condo Apt Apartment,2300,500-599,C10422499
270 Dufferin St Toronto,1,1,Comm Element Condo Multi-Level,2300,0-499,C10420949
87 Peter St E 2911 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10408718
425 Front St E 408 Toronto,1+1,2,Condo Apt Apartment,2300,500-599,C9393705
115 McMahon Dr 2208 Toronto,1,1,Condo Apt Apartment,2300,0-499,C9394408
15 Holmes Ave 1907 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10442633
33 Helendale Ave 1311 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10441204
629 King St W 417 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10325274
1030 King St W 105 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10430245
159 Wellesley St E 607 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10441299
1603 Eglinton Ave 1402 Toronto,1+1,1,Comm Element Condo Multi-Level,2300,500-599,C9294522
1603 Eglinton Ave W 517 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10421027
55 Bremner Blvd 2209 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10431515
735 Don Mills Rd 1508 Toronto,1,1,Condo Apt Apartment,2300,700-799,C9283415
35 Bastion Rd 1617 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9388939
138 Downes St 7112 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10441784
293 The Kingsway 613 Toronto,1,1,Condo Apt Apartment,2300,500-599,W9512266
2373 Bloor St W 8 Toronto,1,1,Condo Apt Apartment,2300,0-499,W8075002
50 Bruyeres Mews 732 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10420906
8 Eglinton Ave E 2110 Toronto,1,1,Condo Apt Apartment,2300,0-499,C9374851
25 Carlton St 808 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10429379
55 Cooper St 4708 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9509688
395 Bloor St E 4509 Toronto,1,1,Condo Apt Apartment,2300,0-499,C9387481
138 Downes St 1706 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10406105
20 Edward St 1005 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10441488
21 Dalhousie St Toronto,1+1,2,Condo Apt Apartment,2300,500-599,C10744056
403 Church St E 506 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10417183
575 Bloor St E 2811 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9509192
830 Lawrence Ave W 501 Toronto,1+1,1,Condo Apt Apartment,2300,600-699,W9347347
35 Bales Ave 2110 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9513037
275 Yorkland Rd 404 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10419153
155 Dalhousie St Ph7 Toronto,1,1,Condo Apt Loft,2300,600-699,C10410275
56 Forest Manor Rd 1209 Toronto,1+1,1,Condo Apt Apartment,2300,0-499,C9372373
33 Frederick Todd Way 627 Toronto,1,1,Condo Apt Apartment,2300,600-699,C10432570
85 Queens Wharf Rd 3909 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10417019
255 Village Green Sq 3008 Toronto,1,1,Condo Apt Apartment,2300,0-499,E9365417
275 Yorkland Rd 2512 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10062156
120 PARLIAMENT St 1503 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10432043
38 Dan Leckie Way 3102 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10402811
75 East Liberty St 416 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9417646
1055 Bay St 910 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10427919
115 Blue Jays Way 4009 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10433376
48 Power St 1609 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9388732
195 McCaul St 322 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10402787
530 Indian Grve 417 Toronto,1,1,Condo Apt Apartment,2300,600-699,W10416458
525 Wilson Ave 563 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10421996
1 Rean Dr 1207 Toronto,1,1,Condo Apt Apartment,2300,600-699,C10442763
35 BELLHAVEN Rd Main Toronto,1+0,1,Condo Apt Other,2300,600-699,E10430054
770 Bay St 1409 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9368152
275 Yorkland Rd 1204 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10416607
55 Charles St E 4908 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10874896
7 Golden Lion Hts 719 Toronto,1,1,Condo Apt Apartment,2300,0-499,C9511953
2119 Lake Shore Blvd W 301 Toronto,1,1,Condo Apt Apartment,2300,500-599,W10875073
4 Elsinore Path 614 Toronto,1,1,Condo Apt Apartment,2300,500-599,W9257208
125 Redpath Ave E 717 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10429728
51 Trolley Cres 607 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10477020
208 Queens Quay Blvd W 1201 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9373496
575 Bloor St E 604 Toronto,1+1,1,Condo Apt Apartment,2300,600-699,C9506907
365 Church St 805 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9512011
70 Town Centre Crt 407 Toronto,1+1,1,Condo Apt Apartment,2300,600-699,E10407550
1830 Bloor St W 503 Toronto,1,1,Condo Apt Apartment,2300,500-599,W10421999
127 Broadway Ave 1908 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10845479
50 O'Neill Rd 619 Toronto,1,1,Condo Apt Apartment,2300,0-499,C9308254
105 George St 1415 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10707742
87 Peter St 1109 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10420235
801 Bay St 210 Toronto,1,1,Condo Apt Apartment,2300,600-699,C9346457
12 York St 1306 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10429149
36 Zorra St 1502 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,W9381649
700 Humberwood Blvd 431 Toronto,1,1,Condo Apt Apartment,2300,500-599,W10466066
20 Richardson St 2401 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10417371
22 Olive Ave 2305 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10744197
25 Neighbourhood Lane 103 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,W9508426
18 Harbour St 704 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10406503
55 Cooper St 7207 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10409147
33 Helendale Ave 1409 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10427486
115 Blue Jays Way 2306 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10425150
200 Sackville St 807 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C9415615
99 John St 303 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9510958
120 Canon Jackson Dr E-105 Toronto,1+1,1,Condo Apt Stacked Townhse,2300,600-699,W10441936
1733 Queen St E 510 Toronto,1,1,Condo Apt Apartment,2300,600-699,E9378528
101 Peter St 811 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9359178
1 King St W 2212 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9507276
15 Bruyeres Mews 1005 Toronto,1,1,Condo Apt Apartment,2300,0-499,C9508906
1 Yorkville Ave 610 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10405873
35 Hayden St 1015 Toronto,1,1,Condo Apt Apartment,2300,0-499,C9511704
185 Roehampton Ave 3002 Toronto,1+1,1,Condo Apt Apartment,2300,600-699,C9308563
8 Trent Ave 312 Toronto,1+1,1,Condo Apt Apartment,2300,600-699,E10417257
222 The Esplanade 932 Toronto,1+1,1,Condo Apt Apartment,2300,600-699,C10406412
600 Fleet St 403 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9514026
10 Graphophone Grve 1402 Toronto,1,1,Condo Apt Apartment,2300,500-599,W9773113
99 Foxbar Rd 1307 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10427090
20 Gladstone Ave 611 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10425690
195 Redpath Ave 1905 Toronto,1+1,2,Condo Apt Apartment,2300,600-699,C10424844
87 Peter St 1708 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10421528
28 Widmer St 3621 Toronto,1,2,Condo Apt Apartment,2300,500-599,C9393763
8 Eglinton Ave E 2603 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C9346653
327 King St E 3705 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10413562
7 Carlton St 609 Toronto,1+1,1,Condo Apt Apartment,2300,600-699,C10433780
188 Fairview Mall Dr 1709 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10875027
100 Dalhousie St 4903 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10874717
81 WELLESLEY St E 1807 Toronto,1,1,Condo Apt Apartment,2300,600-699,C10454162
365 Church St 2213 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10427148
55 Regent Park Blvd #520 Toronto,1+1,1,Condo Apt Apartment,2300,600-699,C10411581
863 St. Clair Ave W 212 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10427713
330 Richmond St W 1015 Toronto,1,1,Condo Apt Apartment,2300,600-699,C10427742
60 Colborne St 518 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9398763
2033 Kennedy Rd 1107 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,E10425269
19 Barberry Pl 105 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10424009
8 Trent Ave 206 Toronto,1,1,Condo Apt Apartment,2300,500-599,E9376758
55 Front St E 716 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10421073
750 Bay St 1501 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10410123
127 Broadway Ave 609 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10415752
195 McCaul St 410 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C9356274
555 Yonge St 611 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10407602
70 Queens Wharf Rd 303 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10427739
18 Holmes Ave 1006 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10412173
327 King St W 1007 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10409269
500 Wilson Ave 452 Toronto,1+1,1,Condo Apt Apartment,2300,0-499,C10431091
195 Redpath Ave 2716 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10410610
5 Soudan Ave 2708 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10416991
60 Princess St 513B SE Toronto,1,1,Condo Apt Apartment,2300,500-599,C9389429
50 Wellesley St E 1701 Toronto,1,1,Condo Apt Apartment,2300,0-499,C9372255
111 St Clair Ave W 626 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9396291
48 Power St 2210 Toronto,1,1,Condo Apt Apartment,2300,500-599,C9508725
75 St Nicholas St 601 Toronto,1,1,Condo Apt Bachelor/Studio,2300,0-499,C9269073
629 King St W 1319 Toronto,1,1,Condo Apt Apartment,2300,0-499,C10421373
560 King St W 620 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10426303
35 Hayden St 417 Toronto,1,1,Condo Apt Apartment,2300,600-699,C9505692
77 Mutual St 2102 Toronto,1+1,1,Condo Apt Apartment,2300,500-599,C10425641
21 Iceboat Terr 3002 Toronto,1,1,Condo Apt Apartment,2300,500-599,C10429375
2033 Kennedy Rd 1212 Toronto,1+1,1,Condo Apt Apartment,2300,600-699,E9379213
2369 Danforth Ave PH01 Toronto,1,1,Condo Apt Apartment,2300,0-499,E9353715
19 Western Battery Rd 1622 Toronto,1,1,Condo Apt Apartment,2318,500-599,C10433788
1410 Dupont St 503 Toronto,1+1,1,Condo Apt Apartment,2323,600-699,W10432468
460 Adelaide St E 1926 Toronto,1,1,Condo Apt Apartment,2325,600-699,C10409378
251 Javis St 3502 Toronto,1+1,1,Condo Apt Apartment,2325,500-599,C10425979
15 Holmes Ave 2007 Toronto,1,1,Condo Apt Apartment,2325,500-599,C9395304
2220 Lakeshore Blvd W 410 Toronto,1,1,Condo Apt Apartment,2325,500-599,W9364667
77 Shuter St 2805 Toronto,1+1,1,Condo Apt Apartment,2340,600-699,C9383465
11 Lillian St 701 Toronto,1+1,1,Condo Apt Apartment,2345,500-599,C9387346
17 Zorra St 1910 Toronto,1,1,Condo Apt Apartment,2345,500-599,W9551113
5793 Yonge St 2310 Toronto,1,1,Condo Apt Apartment,2348,500-599,C10407989
2220 Weston Rd 515 Toronto,1,1,Condo Apt Apartment,2349,600-699,W10400013
403 Church St 2807 Toronto,1,1,Condo Apt Apartment,2349,600-699,C10322800
375 King St W 409 Toronto,1,1,Condo Apt Apartment,2349,600-699,C9399894
18 Yonge St 3209 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9416602
470 Front St W 1301 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10426686
18 Holmes Ave 412 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10433945
195 Redpath Ave 201 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C10406618
251 Manitoba St 1026 Toronto,1,1,Condo Apt Apartment,2350,500-599,W10412691
238 Simcoe St 2701 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C10411256
458 Richmond St W 1001 Toronto,1,1,Condo Apt Loft,2350,500-599,C10425185
65 Bremner Blvd 4106 Toronto,1,1,Condo Apt Apartment,2350,0-499,C9385503
50 TOWN CENTRE Crt 2708 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,E10339109
30 Inn On The Park Dr 3011 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10416974
197 Yonge St 5504 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9388549
188 Doris Ave 1601 Toronto,1,1,Condo Apt Apartment,2350,600-699,C10874736
17 Dundonald St 502 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9294111
327 King St W 905 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10420442
101 Charles St E 3611 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10426266
1174 Yonge St 202 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9400399
318 King St E 806 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10240220
1185 The Queensway 1021 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9984508
88 Scott St 1308 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9378071
230 Simcoe St 2116 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10426933
127 Queen St E 903 Toronto,1+1,1,Condo Apt Apartment,2350,700-799,C9380701
2033 Kennedy Rd 2809 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,E10407430
21 Carlton St 1706 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C9283012
20 Olive Ave 112 Toronto,1,1,Condo Apt Apartment,2350,600-699,C9307195
195 McCaul St 314 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10402717
126 Simcoe St 401 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10404870
30 Nelson St 1101 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10408565
650 Lawrence Ave W 501 Toronto,1,1,Condo Apt Apartment,2350,600-699,C10441474
8 Eglinton Ave E 1606 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10411426
195 McCaul St 515 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C9374231
15 Iceboat Terr 2903 Toronto,1,1,Condo Apt Apartment,2350,0-499,C9396437
120 Harrison Garden Blvd 227 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10429747
49 East Liberty St 302 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C9349843
2212 Lake Shore Blvd W 2805 Toronto,1,1,Condo Apt Apartment,2350,500-599,W10405568
238 Simcoe St 2710 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C10410906
90 Canon Jackson Dr TH110 Toronto,1,1,Condo Townhouse Stacked Townhse,2350,500-599,W9418027
77 Mutual St 703 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9398534
3 Pemberton Ave 1209 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10431296
1285 Dupont St 2803 Toronto,1,1,Condo Apt Apartment,2350,600-699,W10845400
3220 Sheppard Ave E 503 Toronto,1,1,Condo Apt Apartment,2350,500-599,E9346176
5 Michael Power Pl 1001 Toronto,1,1,Condo Apt Apartment,2350,500-599,W10431559
33 Sheppard Ave E 1901 Toronto,1,1,Condo Apt Apartment,2350,600-699,C9388461
31 Tippett Rd 431 Toronto,1+1,2,Condo Apt Apartment,2350,600-699,C10433777
230 Queens Quay West Quay 1027 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10417042
1 Market St 1302 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10415050
195 Redpath Ave 2608 Toronto,1+1,2,Condo Apt Apartment,2350,500-599,C9371590
2300 St Clair Ave W 308 Toronto,1,1,Condo Apt Apartment,2350,500-599,W10410376
238 Simcoe St 2910 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C10427449
33 Bay St 4005 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10405620
1 King St W 2110 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10408340
159 Dundas St E 3802 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9396507
832 Bay St 3409 Toronto,1,1,Condo Apt Apartment,2350,0-499,C9508902
85 Bloor St E 206 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C9385133
375 King St W 1904 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10414779
21 Olive Ave 104 Toronto,1,1,Condo Townhouse Stacked Townhse,2350,600-699,C9385143
121 St Patrick St 1217 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C9397682
19 Western Battery Rd 922 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9416757
251 Jarvis St 3612 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C9308630
630 Queen St E 303 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,E9294554
14 York St 3711 Toronto,1,1,Condo Apt Apartment,2350,600-699,C9767912
560 Front St W 426 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9390140
185 Roehampton Ave W 2111 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9510577
185 Roehampton Ave 1906 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C9508466
30 Nelson St 2010 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9397006
2121 Lake Shore Blvd W 213 Toronto,1,1,Condo Apt Apartment,2350,500-599,W9382935
425 Front St E 411 Toronto,1+1,2,Condo Apt Apartment,2350,500-599,C10408305
25 Carlton St 3010 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10410501
2221 Yonge St 3506 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9769414
575 Bloor St E 1506 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10419205
188 Fairview Mall Dr 820 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C9770435
170 Fort York Blvd 1804 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10416481
15 HOLMES Ave 1807 Toronto,1,1,Comm Element Condo Apartment,2350,0-499,C9392189
75 St Nicholas St 906 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10413732
1 Cardiff Rd 506 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C9415675
197 Yonge St 3911 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C10429821
629 King St W 729 Toronto,1,1,Comm Element Condo Apartment,2350,0-499,C10428407
105 Victoria St 402 Toronto,1,1,Condo Apt Apartment,2350,600-699,C9373173
17 Dundonald St 802 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9506480
51 East Liberty St PH12 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10424454
70 Temperance St 2202 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10426655
60 Brian Harrison Way 2406 Toronto,1,1,Condo Apt Apartment,2350,500-599,E10414380
88 Charles St E 410 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10431147
230 Queens Quay W 221 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9372878
500 Dupont St 420 Toronto,1+1,1,Condo Apt Apartment,2350,0-499,C10433133
28 Wellesley St E 1108 Toronto,1,1,Condo Apt Apartment,2350,0-499,C10411915
181 Wynford Dr 3101 Toronto,1,1,Condo Apt Apartment,2350,600-699,C10426460
19 Western Battery Rd 1701 Toronto,1,1,Condo Apt Apartment,2350,0-499,C10415796
4978 Yonge St 2811 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9310022
425 Front St E 510 Toronto,1+1,2,Condo Apt Apartment,2350,500-599,C9385312
85 Queens Wharf Rd 4209 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9391162
50 Town Centre Crt 1409 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,E10927906
238 Simcoe St 3001 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C10441720
75 East Liberty St 307 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10184631
425 Front St E 602 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C10719290
60 Colborne St 215 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10845449
4968 Yonge St 1805 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10410178
270 Dufferin St W 1013 Toronto,1+1,1,Condo Apt Apartment,2350,0-499,C9394597
85 Queens Wharf Rd 4309 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10929121
1410 Dupont St 1610 Toronto,1+1,1,Comm Element Condo Apartment,2350,600-699,W10410617
77 Shuter St 2105 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10336041
50 Bruyeres Mews 302 Toronto,1+1,1,Comm Element Condo Apartment,2350,500-599,C9354352
20 Edward St 2802 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9514064
1962 Yonge St 402 Toronto,1,1,Condo Apt Apartment,2350,700-799,C10420042
1 Market St 3008 Toronto,1,1,Condo Apt Apartment,2350,0-499,C10418558
736 Spadina Ave 1103 Toronto,1,1,Condo Apt Apartment,2350,0-499,C10428158
313 Richmond St E 668 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C9415662
1185 THE QUEENSWAY 1021 Toronto,1+0,1,Condo Apt Other,2350,500-599,W10407373
224 King St W 2002 Toronto,1,1,Condo Apt Apartment,2350,0-499,C10411370
2 Sonic Way 102 Toronto,1,1,Condo Apt Apartment,2350,0-499,C9384169
33 Helendale Ave 1602 Toronto,1,1,Condo Apt Apartment,2350,0-499,C10411511
15 Viking Lane 2603 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,W10424857
1174 Yonge St 202 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9400370
25 Richmond St E 216 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C10405949
77 Mutual St 1707 Toronto,1,1,Condo Apt Apartment,2350,0-499,C10429832
3 Navy Wharf Crt 610 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10430971
195 Redpath Ave 2511 Toronto,1+1,2,Condo Apt Apartment,2350,500-599,C10426865
70 Queens Wharf Rd 2807 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10413100
127 Broadway Ave 703 Toronto,1+1,3,Condo Apt Apartment,2350,600-699,C10428270
68 Abell St 840 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9513468
10 Boers Dr 314 Toronto,1+0,1,Condo Apt Apartment,2350,500-599,W10875036
238 Simcoe St 2901 Toronto,1+1,1,Co-Op Apt Apartment,2350,600-699,C10427434
22 East Haven Dr 1011 Toronto,1,1,Condo Apt Apartment,2350,600-699,E10421554
11 Maryport Ave 209 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,W10707693
275 Village Green Sq N 3320 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,E9388548
87 Peter St 1012 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10424832
7 Kenaston Gdns G13 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C9372325
290 Adelaide St W 3112 Toronto,1,1,Condo Apt Apartment,2350,0-499,C9416106
2031 Kennedy Rd 1727 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,E10429154
4968 Yonge St 1612 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9361923
5 Defries St 310 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10425672
15 Holmes Ave N 605 Toronto,1,1,Condo Apt Apartment,2350,0-499,C10427775
1100 Sheppard Ave W 827 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,W10410473
10 Meadowglen Pl 204 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,E10416545
85 Queens Wharf Rd 2310 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9359774
26 Gibbs Rd 432 Toronto,1,1,Condo Apt Apartment,2350,500-599,W9968091
155 Yorkville Ave 505 Toronto,1,1,Condo Apt Apartment,2350,0-499,C10412997
55 Cooper St 7706 Toronto,1,1,Condo Apt Apartment,2350,0-499,C10424021
40 Bay Mills Blvd 501 Toronto,1,1,Condo Apt Apartment,2350,700-799,E10418120
80 Queens Wharf Rd 708 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10406252
270 Dufferin St 1101 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,W9768175
426 University Ave 2907 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10402914
28 Ted Rogers Way 701 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,C10405145
210 Victoria St St 2805 Toronto,1,1,Condo Apt Apartment,2350,600-699,C9399777
108 Peter St 1009 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10405884
55 Merchants' Wharf 626 Toronto,1,1,Condo Apt Apartment,2350,600-699,C9388308
70 Town Centre Crt 608 Toronto,1,1,Condo Apt Apartment,2350,500-599,E10421502
403 Church St 2101 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10440800
1630 Queen St E 406 Toronto,1,1,Condo Apt Apartment,2350,500-599,E9769087
1410 Dupont St 318 Toronto,1+1,1,Condo Apt Apartment,2350,600-699,W10247953
250 Lawrence Ave W 611 Toronto,1,1,Condo Apt Apartment,2350,500-599,C9476553
120 Dallimore Circ 209 Toronto,1+1,1,Condo Apt Apartment,2350,500-599,C10430227
250 Wellington St W 928 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10432476
15 Zorra St 1810 Toronto,1,1,Condo Apt Apartment,2350,500-599,W9418081
555 Wilson Hts Blvd 305 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10413906
18 Mondeo Dr 737 Toronto,1,1,Condo Apt Apartment,2350,600-699,E10404816
505 Richmond St 731 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10421008
403 Church St 3607 Toronto,1,1,Condo Apt Apartment,2350,500-599,C10433221
