address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
45 Baseball Pl 1003 Toronto,1,1,Condo Apt Apartment,2200,500-599,E10418374,500,599,549.5,Condo Apartment,Apartment
5039 Finch Ave E 107 Toronto,1,1,Condo Apt Apartment,2200,600-699,E10417543,600,699,649.5,Condo Apartment,Apartment
50 Power St 405 Toronto,1+1,1,Condo Apt Apartment,2200,500-599,C10423519,500,599,549.5,Condo Apartment,Apartment
11 Brunel Crt 4905 Toronto,1,1,Condo Apt Apartment,2200,500-599,C9767816,500,599,549.5,Condo Apartment,Apartment
82 Dalhousie St 3906 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10365622,0,499,249.5,Condo Apartment,Apartment
1410 Dupont St 702 Toronto,1,1,Condo Apt Apartment,2200,500-599,W10413097,500,599,549.5,Condo Apartment,Apartment
5 Soudan Ave N 909 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10416180,0,499,249.5,Condo Apartment,Apartment
158 Front St E 1310 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10425734,0,499,249.5,Condo Apartment,Apartment
377 Madison Ave 523 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9385582,0,499,249.5,Condo Apartment,Apartment
99 Broadway Ave 3607 Toronto,1+1,1,Condo Apt Apartment,2200,0-499,C10426132,0,499,249.5,Condo Apartment,Apartment
99 Broadway Ave 2812 Toronto,1,1,Condo Apt Apartment,2200,500-599,C9513527,500,599,549.5,Condo Apartment,Apartment
715 Don Mills Rd 1005 Toronto,1+1,1,Condo Apt Apartment,2200,600-699,C10416830,600,699,649.5,Condo Apartment,Apartment
90 Broadview Ave 513 Toronto,1,1,Condo Apt Loft,2200,0-499,E10221817,0,499,249.5,Condo Apartment,Loft
400 Adelaide St E 1612 Toronto,1,1,Condo Apt Apartment,2200,600-699,C10430583,600,699,649.5,Condo Apartment,Apartment
9 Tecumseth St 508 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10441173,0,499,249.5,Condo Apartment,Apartment
127 Broadway Ave 1710 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10431949,0,499,249.5,Condo Apartment,Apartment
138 Downes St 3116 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10415756,500,599,549.5,Condo Apartment,Apartment
117 Broadway Ave 610 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10432697,500,599,549.5,Condo Apartment,Apartment
11 Brunel Crt 5109 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10427986,0,499,249.5,Condo Apartment,Apartment
20 O'neill Rd 431 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10403187,500,599,549.5,Condo Apartment,Apartment
8 Tippett Rd 503 Toronto,1,1,Condo Apt Apartment,2200,500-599,C9362809,500,599,549.5,Condo Apartment,Apartment
5 St Joseph St 1206 Toronto,1,1,Condo Apt Apartment,2200,500-599,C9510311,500,599,549.5,Condo Apartment,Apartment
36 Zorra St 329 Toronto,1,1,Condo Apt Apartment,2200,500-599,W10440984,500,599,549.5,Condo Apartment,Apartment
1 Market St 2807 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9514474,0,499,249.5,Condo Apartment,Apartment
33 Frederick Todd Way 431 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10426140,500,599,549.5,Condo Apartment,Apartment
357 King St W 2804 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10849513,500,599,549.5,Condo Apartment,Apartment
20 Edward St 1519 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9509262,0,499,249.5,Condo Apartment,Apartment
111 St Clair Ave W 603 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10426122,500,599,549.5,Condo Apartment,Apartment
20 Bruyeres Mews 513 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10440632,0,499,249.5,Condo Apartment,Apartment
99 Broadway Ave 613 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10429869,0,499,249.5,Condo Apartment,Apartment
36 Park Lawn Rd 3804 Toronto,1,1,Condo Apt Apartment,2200,500-599,W9303869,500,599,549.5,Condo Apartment,Apartment
60 Orchid Place Dr 11 Toronto,1,1,Condo Townhouse Stacked Townhse,2200,500-599,E9379472,500,599,549.5,Condo Townhouse,Stacked Townhse
16 McAdam Ave 511 Toronto,1,1,Condo Apt Apartment,2200,0-499,W9512927,0,499,249.5,Condo Apartment,Apartment
2150 Lawrence Ave 1606 Toronto,1+1,1,Condo Apt Apartment,2200,600-699,E10431679,600,699,649.5,Condo Apartment,Apartment
127 Broadway Ave 1104 Toronto,1+1,1,Condo Apt Apartment,2200,500-599,C10441268,500,599,549.5,Condo Apartment,Apartment
319 Jarvis St LPH03 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9512453,0,499,249.5,Condo Apartment,Apartment
15 Lower Jarvis St 2902 Toronto,1,1,Condo Apt Apartment,2200,500-599,C9362270,500,599,549.5,Condo Apartment,Apartment
5 Defries St 3007 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9250348,0,499,249.5,Condo Apartment,Apartment
132 Berkeley St 221 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9767462,0,499,249.5,Condo Apartment,Apartment
215 Queen St W 1701 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9796172,0,499,249.5,Condo Apartment,Apartment
15 Iceboat Terr 2001 Toronto,1+0,1,Condo Apt Apartment,2200,500-599,C10416896,500,599,549.5,Condo Apartment,Apartment
15 Bruyeres Mews 312 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10412429,500,599,549.5,Condo Apartment,Apartment
127 Broadway Ave 1004 Toronto,1+1,1,Condo Apt Apartment,2200,500-599,C10427189,500,599,549.5,Condo Apartment,Apartment
6127 Steeles Ave W Toronto,1,1,Condo Apt Apartment,2200,1000-1199,W9234973,1000,1199,1099.5,Condo Apartment,Apartment
2033 Kennedy Rd 1002 Toronto,1,1,Condo Apt Apartment,2200,0-499,E9768432,0,499,249.5,Condo Apartment,Apartment
30 Meadowglen Pl 507 Toronto,1,1,Condo Apt Apartment,2200,0-499,E10404818,0,499,249.5,Condo Apartment,Apartment
501 Yonge St 4104 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9395874,0,499,249.5,Condo Apartment,Apartment
96 St Patrick St 511 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10411605,0,499,249.5,Condo Apartment,Apartment
25 Richmond St E 2313 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10874769,0,499,249.5,Condo Apartment,Apartment
60 Princess St 353 SE Toronto,1,1,Condo Apt Apartment,2200,500-599,C10424827,500,599,549.5,Condo Apartment,Apartment
863 St. Clair Ave W 202 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10432363,500,599,549.5,Condo Apartment,Apartment
195 McCaul St 222 Toronto,1,1,Condo Apt Apartment,2200,500-599,C9723957,500,599,549.5,Condo Apartment,Apartment
319 Jarvis St 4805 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10402903,0,499,249.5,Condo Apartment,Apartment
17 Dundonald St 510 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9364966,0,499,249.5,Condo Apartment,Apartment
77 Mutual St 2006 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9769551,0,499,249.5,Condo Apartment,Apartment
1787 St Clair Ave W 717 Toronto,1+1,1,Condo Apt Multi-Level,2200,500-599,W9350447,500,599,549.5,Condo Apartment,Multi-Level
955 Bay St 418 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10477029,500,599,549.5,Condo Apartment,Apartment
135 East Liberty St 1109 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9769904,0,499,249.5,Condo Apartment,Apartment
33 Charles St E 2312 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9386396,0,499,249.5,Condo Apartment,Apartment
50 Charles St E 1608 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10432488,0,499,249.5,Condo Apartment,Apartment
2369 Danforth Ave 811 Toronto,1,1,Condo Apt Apartment,2200,0-499,E9471552,0,499,249.5,Condo Apartment,Apartment
3 Market St 210 Toronto,1+1,1,Condo Apt Apartment,2200,500-599,C10417047,500,599,549.5,Condo Apartment,Apartment
251 Jarvis St 2601 Toronto,1,1,Condo Apt Apartment,2200,600-699,C9769779,600,699,649.5,Condo Apartment,Apartment
33 Helendale Ave 1111 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10415858,0,499,249.5,Condo Apartment,Apartment
478 Caledonia Rd 305 Toronto,1,1,Condo Apt Apartment,2200,500-599,W8477360,500,599,549.5,Condo Apartment,Apartment
30 Inn On The Park Dr 4206 Toronto,1,1,Condo Apt Apartment,2200,500-599,C9343912,500,599,549.5,Condo Apartment,Apartment
127 Broadway Ave 2006 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10874755,500,599,549.5,Condo Apartment,Apartment
87 Peter St 3415 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10463637,0,499,249.5,Condo Apartment,Apartment
195 McCaul St 712 Toronto,1+1,1,Condo Apt Apartment,2200,500-599,C10417111,500,599,549.5,Condo Apartment,Apartment
1910 Lakeshore Blvd 806 Toronto,1,1,Condo Apt Apartment,2200,500-599,W9385489,500,599,549.5,Condo Apartment,Apartment
3091 Dufferin St 803 Toronto,1,1,Condo Apt Apartment,2200,0-499,W10427746,0,499,249.5,Condo Apartment,Apartment
111 St Clair Ave W 323 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10424203,500,599,549.5,Condo Apartment,Apartment
238 Simcoe St 1602 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9507137,0,499,249.5,Condo Apartment,Apartment
219 Dundas St E 705 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10415661,500,599,549.5,Condo Apartment,Apartment
238 Simcoe St 3603 Toronto,1,1,Condo Apt Apartment,2200,500-599,C10433290,500,599,549.5,Condo Apartment,Apartment
1420 Dupont St 901 Toronto,1+1,1,Condo Apt Apartment,2200,500-599,W10929187,500,599,549.5,Condo Apartment,Apartment
82 Dalhousie St 3105 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10428748,0,499,249.5,Condo Apartment,Apartment
127 Broadway Ave 316s Toronto,1,1,Condo Apt Apartment,2200,500-599,C10424379,500,599,549.5,Condo Apartment,Apartment
126 Simcoe St 1402 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9506849,0,499,249.5,Condo Apartment,Apartment
77 Mutual St 1903 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9300948,0,499,249.5,Condo Apartment,Apartment
42 Charles St E 4706 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9416838,0,499,249.5,Condo Apartment,Apartment
238 Simcoe St 2402 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10402695,0,499,249.5,Condo Apartment,Apartment
560 King St W 416 Toronto,1,1,Condo Apt Apartment,2200,0-499,C10884943,0,499,249.5,Condo Apartment,Apartment
500 Sherbourne St 2701 Toronto,1,1,Condo Apt Apartment,2200,500-599,C9389653,500,599,549.5,Condo Apartment,Apartment
275 Village Green Sq 1519 Toronto,1,1,Condo Apt Apartment,2200,500-599,E10428897,500,599,549.5,Condo Apartment,Apartment
18 Rean 224 Toronto,1,1,Condo Apt Apartment,2200,0-499,C9508326,0,499,249.5,Condo Apartment,Apartment
318 Richmond St W 614 Toronto,1+0,1,Condo Apt Apartment,2200,500-599,C9768309,500,599,549.5,Condo Apartment,Apartment
38 Joe Shuster Way 327 Toronto,1,1,Condo Apt Apartment,2200,500-599,C9505767,500,599,549.5,Condo Apartment,Apartment
318 Richmond St W 2404 Toronto,1,1,Condo Apt Apartment,2215,500-599,C10405750,500,599,549.5,Condo Apartment,Apartment
55 Ontario St 1707 Toronto,1,1,Condo Apt Apartment,2225,0-499,C10419804,0,499,249.5,Condo Apartment,Apartment
185 Roehampton Ave 610 Toronto,1+1,1,Condo Apt Apartment,2225,500-599,C9418436,500,599,549.5,Condo Apartment,Apartment
68 Canterbury Pl 1603 Toronto,1,1,Condo Apt Apartment,2230,500-599,C10929157,500,599,549.5,Condo Apartment,Apartment
775 King St W 1008 Toronto,1,1,Condo Apt Apartment,2230,500-599,C10434137,500,599,549.5,Condo Apartment,Apartment
325 Yorkland Blvd 3001 Toronto,1,1,Condo Apt Apartment,2233,0-499,C9511051,0,499,249.5,Condo Apartment,Apartment
28 Wellesley St E 2105 Toronto,1,1,Condo Apt Apartment,2240,0-499,C9986664,0,499,249.5,Condo Apartment,Apartment
127 Broadway Ave 708 Toronto,1+1,1,Condo Apt Apartment,2240,500-599,C10416051,500,599,549.5,Condo Apartment,Apartment
1410 Dupont St 1907 Toronto,1,1,Condo Apt Apartment,2243,500-599,W9868343,500,599,549.5,Condo Apartment,Apartment
2525 Bathurst St 605 Toronto,1,1,Condo Apt Apartment,2245,0-499,C10404928,0,499,249.5,Condo Apartment,Apartment
763 Woodbine Ave 401 Toronto,1,1,Other Apartment,2245,500-599,E10417195,500,599,549.5,Other,Apartment
30 Tretti Way 629 Toronto,1,1,Condo Apt Apartment,2245,500-599,C9391362,500,599,549.5,Condo Apartment,Apartment
2525 Bathurst St 304 Toronto,1,1,Condo Apt Apartment,2245,500-599,C9512479,500,599,549.5,Condo Apartment,Apartment
215 Queen St W 1802 Toronto,1+1,1,Condo Apt Apartment,2249,0-499,C9388437,0,499,249.5,Condo Apartment,Apartment
1461 Lawrence Ave W 1811 Toronto,1,1,Condo Apt Apartment,2249,0-499,W9349183,0,499,249.5,Condo Apartment,Apartment
8 Eglinton Ave 3203 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10874696,500,599,549.5,Condo Apartment,Apartment
14 York St 2111 Toronto,1,1,Comm Element Condo Apartment,2250,500-599,C10854796,500,599,549.5,Common Element Condo,Apartment
111 Bathurst St 413 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10431108,500,599,549.5,Condo Apartment,Apartment
121 Lower Sherbourne St 460 SW Toronto,1+1,2,Condo Apt Apartment,2250,500-599,C9402002,500,599,549.5,Condo Apartment,Apartment
2201 Kingston Rd 117 Toronto,1,1,Condo Apt Apartment,2250,600-699,E9468493,600,699,649.5,Condo Apartment,Apartment
50 Power St 512 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10408244,500,599,549.5,Condo Apartment,Apartment
425 FRONT St E 415 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C9418017,500,599,549.5,Condo Apartment,Apartment
863 St. Clair Ave W 502 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10433490,500,599,549.5,Condo Apartment,Apartment
4955 Yonge St 718 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9418513,0,499,249.5,Condo Apartment,Apartment
19 Bathurst St 815 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10418502,500,599,549.5,Condo Apartment,Apartment
38 Dan Leckie Way 2606 Toronto,1,1,Condo Apt Apartment,2250,600-699,C9378277,600,699,649.5,Condo Apartment,Apartment
57 St. Joseph St 2908 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10423466,0,499,249.5,Condo Apartment,Apartment
6 Humberline Dr 319 Toronto,1+1,1,Condo Apt Apartment,2250,800-899,W10441528,800,899,849.5,Condo Apartment,Apartment
90 Stadium Rd 613 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9395595,500,599,549.5,Condo Apartment,Apartment
169 Fort York Blvd 319 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9415695,500,599,549.5,Condo Apartment,Apartment
33 Helendale Ave 1306 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9394266,0,499,249.5,Condo Apartment,Apartment
159 Dundas St E 2904 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9509643,500,599,549.5,Condo Apartment,Apartment
151 Dan Leckie Way 541 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,C10408655,600,699,649.5,Condo Apartment,Apartment
2221 Yonge St 3907 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10418554,0,499,249.5,Condo Apartment,Apartment
195 McCaul St 313 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C9364577,500,599,549.5,Condo Apartment,Apartment
1030 King St W 936 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9508847,0,499,249.5,Condo Apartment,Apartment
30 Herons Hill Way 1904 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9395855,0,499,249.5,Condo Apartment,Apartment
161 Roehampton Ave 1005 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10416155,500,599,549.5,Condo Apartment,Apartment
55 Ann O'Reilly Rd 1003 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9352482,500,599,549.5,Condo Apartment,Apartment
15 Holmes Ave 1906 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9371233,0,499,249.5,Condo Apartment,Apartment
243 Perth Ave 210 Toronto,1,1,Condo Apt Apartment,2250,500-599,W10430815,500,599,549.5,Condo Apartment,Apartment
135 East Liberty St 1809 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9365012,0,499,249.5,Condo Apartment,Apartment
1928 Lake Shore Blvd W 2315 Toronto,1,1,Condo Apt Apartment,2250,0-499,W10415373,0,499,249.5,Condo Apartment,Apartment
31 Bales Ave 1109 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10845470,500,599,549.5,Condo Apartment,Apartment
80 Esther Lorrie Dr 717 Toronto,1,1,Condo Apt Apartment,2250,500-599,W9399053,500,599,549.5,Condo Apartment,Apartment
2033 Kennedy Rd 1102 Toronto,1,1,Condo Apt Apartment,2250,0-499,E10417126,0,499,249.5,Condo Apartment,Apartment
323 Richmond St E 1114 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9512250,500,599,549.5,Condo Apartment,Apartment
12 Bonnycastle St 723 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9360038,500,599,549.5,Condo Apartment,Apartment
127 Broadway Ave 402 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10421407,500,599,549.5,Condo Apartment,Apartment
327 King St W 1401 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9349003,0,499,249.5,Condo Apartment,Apartment
2031 Kennedy Rd 2319 Toronto,1,1,Condo Apt Apartment,2250,0-499,E10408105,0,499,249.5,Condo Apartment,Apartment
250 Lawrence Ave W 601 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10415206,0,499,249.5,Condo Apartment,Apartment
313 Richmond St 756 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10927337,500,599,549.5,Condo Apartment,Apartment
55 Charles St 4207 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10707831,500,599,549.5,Condo Apartment,Apartment
30 Samuel Wood Way 1907 Toronto,1,1,Condo Apt Apartment,2250,0-499,W10422250,0,499,249.5,Condo Apartment,Apartment
629 King St W 818 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9387115,0,499,249.5,Condo Apartment,Apartment
33 Isabella St 606 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9386207,500,599,549.5,Condo Apartment,Apartment
33 Isabella St 2311 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9384966,0,499,249.5,Condo Apartment,Apartment
3091 Dufferin Ave 211 Toronto,1,1,Condo Apt Apartment,2250,500-599,W10428037,500,599,549.5,Condo Apartment,Apartment
56 Annie Craig Dr 708 Toronto,1,1,Condo Apt Apartment,2250,0-499,W10422414,0,499,249.5,Condo Apartment,Apartment
127 Broadway Ave 808 Toronto,1+1,1,Condo Townhouse Apartment,2250,500-599,C10442868,500,599,549.5,Condo Townhouse,Apartment
28 Widmer St 4821 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10405608,500,599,549.5,Condo Apartment,Apartment
197 Yonge St 3603 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9385508,500,599,549.5,Condo Apartment,Apartment
10 Park Lawn Rd 3106 Toronto,1,1,Condo Apt Apartment,2250,500-599,W10405795,500,599,549.5,Condo Apartment,Apartment
219 Dundas St E 1901 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10428282,500,599,549.5,Condo Apartment,Apartment
68 Abell St 536 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10433486,0,499,249.5,Condo Apartment,Apartment
2031 Kennedy Rd 2518 Toronto,1,1,Condo Apt Apartment,2250,700-799,E10411414,700,799,749.5,Condo Apartment,Apartment
181 Village Green Sq 1717 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,E10893872,600,699,649.5,Condo Apartment,Apartment
775 King St W 908 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9380152,500,599,549.5,Condo Apartment,Apartment
18 Mondeo Dr 1032 Toronto,1,1,Condo Apt Apartment,2250,700-799,E10929195,700,799,749.5,Condo Apartment,Apartment
45 Charles St E 3708 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10415169,500,599,549.5,Condo Apartment,Apartment
170 Bayview Ave 1501 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10430800,500,599,549.5,Condo Apartment,Apartment
28 Widmer St 3721 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9394574,500,599,549.5,Condo Apartment,Apartment
460 Adelaide St E 501 Toronto,1,1,Condo Apt Apartment,2250,600-699,C10415720,600,699,649.5,Condo Apartment,Apartment
3 Pemberton Ave 709 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10440849,500,599,549.5,Condo Apartment,Apartment
1030 King St W 308 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9379352,0,499,249.5,Condo Apartment,Apartment
250 LAWRENCE Ave W 415 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10440709,500,599,549.5,Condo Apartment,Apartment
4955 Yonge St 818 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9461509,0,499,249.5,Condo Apartment,Apartment
115 Blue Jays Way 723 Toronto,1,1,Comm Element Condo Apartment,2250,500-599,C10403182,500,599,549.5,Common Element Condo,Apartment
60 Shuter St 609 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10427149,0,499,249.5,Condo Apartment,Apartment
21 Vaughan Rd 2207 Toronto,1,1,Condo Apt Apartment,2250,600-699,C9389991,600,699,649.5,Condo Apartment,Apartment
6 Sonic Way 3101 Toronto,1+1,2,Condo Apt Apartment,2250,600-699,C10420480,600,699,649.5,Condo Apartment,Apartment
38 Cameron St 425 Toronto,1,1,Condo Apt Apartment,2250,600-699,C9768456,600,699,649.5,Condo Apartment,Apartment
65 George Appleton Way 2064 Toronto,1,1,Condo Apt 2-Storey,2250,500-599,W10426318,500,599,549.5,Condo Apartment,2-Storey
15 Lower Jarvis St 3704 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10432749,0,499,249.5,Condo Apartment,Apartment
21 Vaughan Rd 307 Toronto,1,1,Condo Apt Apartment,2250,600-699,C9350733,600,699,649.5,Condo Apartment,Apartment
1 Scott St 3005 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9306807,0,499,249.5,Condo Apartment,Apartment
159 Wellesley St E 2902 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10413527,0,499,249.5,Condo Apartment,Apartment
95 George Appleton Way 2162 Toronto,1,1,Condo Townhouse Stacked Townhse,2250,500-599,W9361469,500,599,549.5,Condo Townhouse,Stacked Townhse
28 Freeland St 1403 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10427170,500,599,549.5,Condo Apartment,Apartment
197 Yonge St 2104 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10415474,500,599,549.5,Condo Apartment,Apartment
108 Peter St 2309 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10430756,0,499,249.5,Condo Apartment,Apartment
275 Village Green Sq 617 Toronto,1,1,Condo Apt Apartment,2250,0-499,E10404917,0,499,249.5,Condo Apartment,Apartment
33 LOMBARD St 2105 Toronto,1,1,Condo Apt Other,2250,0-499,C10010749,0,499,249.5,Condo Apartment,Other
816 Lansdowne Ave 706 Toronto,1,1,Condo Apt Apartment,2250,500-599,W9300674,500,599,549.5,Condo Apartment,Apartment
75 Canterbury Pl 2010 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10405056,0,499,249.5,Condo Apartment,Apartment
127 Broadway Ave 1904 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10845389,500,599,549.5,Condo Apartment,Apartment
460 Adelaide St E 2107 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,C10288170,600,699,649.5,Condo Apartment,Apartment
205 Frederick St 713 Toronto,1,1,Condo Apt Apartment,2250,600-699,C10440508,600,699,649.5,Condo Apartment,Apartment
99 Broadway Ave 2007 Nt Toronto,1,1,Condo Apt Apartment,2250,0-499,C10412459,0,499,249.5,Condo Apartment,Apartment
20 Thomas Riley Rd W 608 Toronto,1,1,Condo Apt Apartment,2250,500-599,W9356361,500,599,549.5,Condo Apartment,Apartment
21 Lawren Harris Sq 610 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10291544,500,599,549.5,Condo Apartment,Apartment
251 Jarvis St W 3912 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10426615,500,599,549.5,Condo Apartment,Apartment
55 Cooper St 2208 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9416545,500,599,549.5,Condo Apartment,Apartment
760 The Queensway 510 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,W9506428,600,699,649.5,Condo Apartment,Apartment
1 Rean Dr 1211 Toronto,1,1,Condo Apt Apartment,2250,600-699,C10441424,600,699,649.5,Condo Apartment,Apartment
78 Tecumseth St 1511 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10428771,500,599,549.5,Condo Apartment,Apartment
128 Fairview Mall Dr 907 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10402941,0,499,249.5,Condo Apartment,Apartment
181 Village Green Sq 1417 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,E9382922,600,699,649.5,Condo Apartment,Apartment
2191 Yonge St 604 Toronto,1,1,Condo Apt Apartment,2250,600-699,C10405625,600,699,649.5,Condo Apartment,Apartment
50 Brian Harrison Way 1906 Toronto,1,1,Condo Apt Apartment,2250,500-599,E10425273,500,599,549.5,Condo Apartment,Apartment
555 Yonge St N #904 Toronto,1,1,Condo Apt Apartment,2250,600-699,C9400576,600,699,649.5,Condo Apartment,Apartment
88 Grangeway Ave 1801 Toronto,1,1,Condo Apt Apartment,2250,600-699,E9513927,600,699,649.5,Condo Apartment,Apartment
260 Sackville St 912 Toronto,1,1,Condo Apt Multi-Level,2250,500-599,C9359182,500,599,549.5,Condo Apartment,Multi-Level
170 Bayview Ave 1101 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9379044,500,599,549.5,Condo Apartment,Apartment
36 Zorra St 3101 Toronto,1,1,Comm Element Condo Apartment,2250,0-499,W10423053,0,499,249.5,Common Element Condo,Apartment
458 Richmond St W 704 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9382102,0,499,249.5,Condo Apartment,Apartment
14 York St 2811 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10432634,500,599,549.5,Condo Apartment,Apartment
33 Charles St E 2302 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10430011,0,499,249.5,Condo Apartment,Apartment
15 Iceboat Terr 2511 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10413624,500,599,549.5,Condo Apartment,Apartment
500 Wilson Ave 636 Toronto,1+1,2,Condo Apt Apartment,2250,500-599,C10424464,500,599,549.5,Condo Apartment,Apartment
120 Parliament St 410 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C9396179,500,599,549.5,Condo Apartment,Apartment
255 Village Green Sq 2709 Toronto,1,1,Condo Apt Apartment,2250,500-599,E10430196,500,599,549.5,Condo Apartment,Apartment
99 Broadway Ave 2612 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9271845,0,499,249.5,Condo Apartment,Apartment
