address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
21 Lawren Harris St 410 Toronto,1+1,1,Condo Apt Apartment,2450,500-599,C10425693,500,599,549.5,Condo Apartment,Apartment
115 Mcmahon Dr 3507 Toronto,1,1,Condo Apt Apartment,2450,500-599,C10430103,500,599,549.5,Condo Apartment,Apartment
96 St Patrick St 1412 Toronto,1,1,Condo Apt Apartment,2450,0-499,C10422409,0,499,249.5,Condo Apartment,Apartment
16 Yonge St 316 Toronto,1,1,Condo Apt Apartment,2450,0-499,C10744097,0,499,249.5,Condo Apartment,Apartment
160 Vanderhoof Ave 807 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9873554,500,599,549.5,Condo Apartment,Apartment
201 Sherbourne St 1407 Toronto,1,1,Condo Apt Bachelor/Studio,2450,500-599,C9769189,500,599,549.5,Condo Apartment,Bachelor/Studio
188 Fairview Mall Dr 2112 Toronto,1+1,1,Condo Apt Apartment,2450,500-599,C10410777,500,599,549.5,Condo Apartment,Apartment
25 Town Centre Crt 3001 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,E10404825,600,699,649.5,Condo Apartment,Apartment
167 Church St 702 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C10429746,600,699,649.5,Condo Apartment,Apartment
36 Lee Centre Dr 2908 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,E10409324,600,699,649.5,Condo Apartment,Apartment
153 Beecroft Rd N 1215 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C10416377,600,699,649.5,Condo Apartment,Apartment
11 Brunel Crt 5505 Toronto,1,1,Condo Apt Apartment,2450,500-599,C10415733,500,599,549.5,Condo Apartment,Apartment
130 Long Branch Ave 32 Toronto,1+1,1,Condo Townhouse Stacked Townhse,2450,600-699,W10420396,600,699,649.5,Condo Townhouse,Stacked Townhse
430 Mclevin Ave 801 Toronto,1+1,1,Condo Apt Apartment,2450,800-899,E10441034,800,899,849.5,Condo Apartment,Apartment
25 The Esplanade 413 Toronto,1,1,Condo Apt Apartment,2450,600-699,C10422064,600,699,649.5,Condo Apartment,Apartment
327 King St W 2406 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9378107,500,599,549.5,Condo Apartment,Apartment
2525 Bathurst St 1010 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9512598,500,599,549.5,Condo Apartment,Apartment
115 Mcmahon Dr 2106 Toronto,1,1,Condo Apt Apartment,2450,500-599,C10440958,500,599,549.5,Condo Apartment,Apartment
181 Wynford Dr 403 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C9511000,600,699,649.5,Condo Apartment,Apartment
25 Carlton St 2310 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9524437,500,599,549.5,Condo Apartment,Apartment
470 front St W 1501 Toronto,1,1,Condo Apt Apartment,2450,500-599,C10417699,500,599,549.5,Condo Apartment,Apartment
8 Tippett Rd 603 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9418438,500,599,549.5,Condo Apartment,Apartment
2369 Danforth Ave 217 Toronto,1+1,2,Condo Apt Apartment,2450,600-699,E9396281,600,699,649.5,Condo Apartment,Apartment
190 Borough Dr 3206 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,E10431829,600,699,649.5,Condo Apartment,Apartment
12 York St 403 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C10423865,600,699,649.5,Condo Apartment,Apartment
25 Town Centre Crt N 2211 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,E10404963,600,699,649.5,Condo Apartment,Apartment
30 Meadowglen Pl 815 Toronto,1+1,2,Condo Apt Apartment,2450,600-699,E10428760,600,699,649.5,Condo Apartment,Apartment
155 Dalhousie St PH48 Toronto,1,1,Condo Apt Industrial Loft,2450,500-599,C9269483,500,599,549.5,Condo Apartment,Loft
50 Town Centre Crt 1103 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,E9507756,600,699,649.5,Condo Apartment,Apartment
319 Jarvis St 3916 Toronto,1+1,1,Condo Apt Apartment,2450,500-599,C10402697,500,599,549.5,Condo Apartment,Apartment
1 The Esplanade N 3405 Toronto,1,1,Condo Apt Apartment,2450,500-599,C10845522,500,599,549.5,Condo Apartment,Apartment
77 Shuter St 205 Toronto,1+1,1,Condo Apt Apartment,2450,500-599,C9390361,500,599,549.5,Condo Apartment,Apartment
105 George St 2012 Toronto,1,1,Condo Apt Apartment,2450,0-499,C9311587,0,499,249.5,Condo Apartment,Apartment
319 Jarvis St E 4916 Toronto,1+1,1,Condo Apt Apartment,2450,500-599,C9372488,500,599,549.5,Condo Apartment,Apartment
155 Dalhousie St 543 Toronto,1,1,Condo Apt Loft,2450,600-699,C9378398,600,699,649.5,Condo Apartment,Loft
120 Harrison Garden Blvd 1008 Toronto,1+1,1,Comm Element Condo Multi-Level,2450,600-699,C9506779,600,699,649.5,Common Element Condo,Multi-Level
38 Cameron St 310 Toronto,1+1,2,Condo Apt Apartment,2450,600-699,C9509865,600,699,649.5,Condo Apartment,Apartment
30 Samuel Wood Way 2011 Toronto,1,1,Condo Apt Apartment,2450,500-599,W10410334,500,599,549.5,Condo Apartment,Apartment
25 Richmond St E 2012 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9397376,500,599,549.5,Condo Apartment,Apartment
199 Richmond St W 1208 Toronto,1,1,Condo Apt Apartment,2450,500-599,C10707712,500,599,549.5,Condo Apartment,Apartment
23 Sheppard Ave E 2601 Toronto,1,1,Condo Apt Apartment,2450,500-599,C10421765,500,599,549.5,Condo Apartment,Apartment
55 Mercer St LPH10 Toronto,1,1,Condo Apt Apartment,2450,0-499,C9380790,0,499,249.5,Condo Apartment,Apartment
18 Harbour St 306 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C10406129,600,699,649.5,Condo Apartment,Apartment
197 Yonge St 1311 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C9390123,600,699,649.5,Condo Apartment,Apartment
215 Sherway Gardens Rd 1911 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,W10408997,600,699,649.5,Condo Apartment,Apartment
90 Queens Wharf Rd 607 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C9385795,600,699,649.5,Condo Apartment,Apartment
5 Michael Power Pl 1909 Toronto,1,1,Condo Apt Apartment,2450,500-599,W10429223,500,599,549.5,Condo Apartment,Apartment
108 PETER St 918 Toronto,1+1,1,Comm Element Condo Apartment,2450,500-599,C10431632,500,599,549.5,Common Element Condo,Apartment
18 Maitland Terr 1511 Toronto,1,1,Condo Apt Apartment,2450,0-499,C9505529,0,499,249.5,Condo Apartment,Apartment
70 Temperance St 2809 Toronto,1+1,1,Condo Apt Apartment,2450,500-599,C9461752,500,599,549.5,Condo Apartment,Apartment
8 Mercer St 1206 Toronto,1+1,1,Condo Apt Apartment,2450,500-599,C9476995,500,599,549.5,Condo Apartment,Apartment
18 Yonge St 1411 Toronto,1,1,Condo Apt Apartment,2450,600-699,C10411764,600,699,649.5,Condo Apartment,Apartment
38 Widmer St 511 Toronto,1,1,Condo Apt Apartment,2450,500-599,C10407972,500,599,549.5,Condo Apartment,Apartment
55 Ann O'reilly Rd 3307 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C9302904,600,699,649.5,Condo Apartment,Apartment
115 Mcmahon Dr 3508 Toronto,1,1,Condo Apt Apartment,2450,0-499,C10416390,0,499,249.5,Condo Apartment,Apartment
55 Charles St E 4208 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9354933,500,599,549.5,Condo Apartment,Apartment
400 Adelaide St E 909 Toronto,1+1,2,Condo Apt Apartment,2450,600-699,C10424449,600,699,649.5,Condo Apartment,Apartment
83 Borough Dr 1702 Toronto,1,1,Condo Apt Apartment,2450,600-699,E10431876,600,699,649.5,Condo Apartment,Apartment
88 Charles St E 410 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9513252,500,599,549.5,Condo Apartment,Apartment
150 East Liberty St 805 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C9767983,600,699,649.5,Condo Apartment,Apartment
130 River St 801 Toronto,1+1,1,Condo Apt Apartment,2450,500-599,C10414539,500,599,549.5,Condo Apartment,Apartment
55 Charles St 3910 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C9769995,600,699,649.5,Condo Apartment,Apartment
3220 Sheppard Ave E 1805 Toronto,1,1,Condo Apt Apartment,2450,500-599,E9384119,500,599,549.5,Condo Apartment,Apartment
15 James Finlay Way 1012 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,W10426094,600,699,649.5,Condo Apartment,Apartment
87 Peter St 2010 Toronto,1+1,1,Condo Apt Apartment,2450,500-599,C10707692,500,599,549.5,Condo Apartment,Apartment
20 Olive Ave 208 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C9347766,600,699,649.5,Condo Apartment,Apartment
576 Front St W 1609 Toronto,1,1,Condo Apt Apartment,2450,0-499,C9418149,0,499,249.5,Condo Apartment,Apartment
628 fleet St 1911 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9494954,500,599,549.5,Condo Apartment,Apartment
17 Dundonald St 704 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C9418801,600,699,649.5,Condo Apartment,Apartment
151 Avenue Rd 501 Toronto,1,1,Condo Apt Apartment,2450,0-499,C9416354,0,499,249.5,Condo Apartment,Apartment
425 Front St E 313 Toronto,1+1,2,Condo Apt Apartment,2450,500-599,C9384468,500,599,549.5,Condo Apartment,Apartment
108 Peter St 1019 Toronto,1+1,1,Condo Apt Apartment,2450,500-599,C9511512,500,599,549.5,Condo Apartment,Apartment
30 Shore Breeze Dr 533 Toronto,1,1,Condo Apt Apartment,2450,500-599,W9368185,500,599,549.5,Condo Apartment,Apartment
955 Bay St 2319 Toronto,1+1,1,Condo Apt Apartment,2450,600-699,C9507511,600,699,649.5,Condo Apartment,Apartment
2525 Bathurst St 1308 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9387420,500,599,549.5,Condo Apartment,Apartment
30 Shore Breeze Dr 4620 Toronto,1,1,Condo Apt Apartment,2450,500-599,W9375779,500,599,549.5,Condo Apartment,Apartment
75 Canterbury Pl 1003 Toronto,1,1,Condo Apt Apartment,2450,500-599,C9298804,500,599,549.5,Condo Apartment,Apartment
16 Brookers Lane 406 Toronto,1,1,Condo Apt Apartment,2450,600-699,W9474737,600,699,649.5,Condo Apartment,Apartment
218 Queens Quay W 905 Toronto,1,1,Condo Apt Apartment,2450,600-699,C9390308,600,699,649.5,Condo Apartment,Apartment
151 MILL St 604 Toronto,1,1,Condo Apt Apartment,2453,500-599,C10424072,500,599,549.5,Condo Apartment,Apartment
60 Ann O'Reilly Rd 1459 Toronto,1+1,2,Condo Apt Apartment,2460,600-699,C10235479,600,699,649.5,Condo Apartment,Apartment
3 Strathgowan Ave 323 Toronto,1,1,Condo Apt Apartment,2460,600-699,C10428352,600,699,649.5,Condo Apartment,Apartment
3 Strathgowan Ave 311 Toronto,1,1,Condo Apt Apartment,2460,600-699,C10428347,600,699,649.5,Condo Apartment,Apartment
15 Grenville St 2811 Toronto,1+1,1,Condo Apt Apartment,2475,500-599,C10896105,500,599,549.5,Condo Apartment,Apartment
25 Carlton St 2503 Toronto,1+1,1,Condo Apt Apartment,2475,600-699,C9370759,600,699,649.5,Condo Apartment,Apartment
18 Merton St 1115 Toronto,1,2,Condo Apt 2-Storey,2475,700-799,C9386147,700,799,749.5,Condo Apartment,2-Storey
30 Shore Breeze Dr 540 Toronto,1,1,Condo Apt Apartment,2475,500-599,W10410493,500,599,549.5,Condo Apartment,Apartment
621 Sheppard Ave E 328 Toronto,1,1,Condo Apt Apartment,2475,0-499,C10423054,0,499,249.5,Condo Apartment,Apartment
55 Charles St E 3510 Toronto,1+1,1,Condo Apt Apartment,2475,500-599,C9311523,500,599,549.5,Condo Apartment,Apartment
85 Wood St Ph07 Toronto,1+1,1,Condo Apt Apartment,2475,600-699,C10427327,600,699,649.5,Condo Apartment,Apartment
736 Bay St 1708 Toronto,1,1,Condo Apt Apartment,2475,500-599,C10393086,500,599,549.5,Condo Apartment,Apartment
