address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style,Lat,Lon
50 Orchid Place Dr Room 1 Toronto,1,1,Condo Townhouse Multi-Level,1000,1000-1199,E9416947,1000,1199,1099.5,Condo Townhouse,Multi-Level,43.70011,-79.4163
330 Village Green Sq 8 Toronto,1,2,Condo Townhouse 3-Storey,1100,1200-1399,E9399099,1200,1399,1299.5,Condo Townhouse,3-Storey,43.7777497,-79.283306
3 Falaise Rd A2 Toronto,1,1,Condo Townhouse Stacked Townhse,1200,1400-1599,E10431570,1400,1599,1499.5,Condo Townhouse,Stacked Townhse,43.7726629,-79.1903001
10 Eddystone Ave 241 Toronto,1,2,Condo Apt 2-Storey,1200,1200-1399,W10407655,1200,1399,1299.5,Condo Apartment,2-Storey,43.7492225,-79.5159434
872 Browns Line 2 Toronto,1,1,Condo Apt Multi-Level,1250,1000-1199,W10423767,1000,1199,1099.5,Condo Apartment,Multi-Level,43.5927123,-79.5424966
55 Cedarcroft Blvd 12 Toronto,1,1,Condo Townhouse 2-Storey,1250,1200-1399,C10441325,1200,1399,1299.5,Condo Townhouse,2-Storey,43.7834103,-79.4478435
177 Linus Rd 1014 Toronto,1,1,Condo Apt Apartment,1280,900-999,C9295556,900,999,949.5,Condo Apartment,Apartment,43.7912015,-79.3571227
350 Alton Towers Circ 907 Toronto,1+1,1,Condo Apt Apartment,1300,700-799,E9381394,700,799,749.5,Condo Apartment,Apartment,43.70011,-79.4163
57 Finch Ave 27 Toronto,1,1,Condo Townhouse 2-Storey,1350,900-999,C10884899,900,999,949.5,Condo Townhouse,2-Storey,43.779756,-79.4156124
11753 Sheppard Ave E 420 Toronto,1,1,Condo Apt Apartment,1350,1000-1199,E10422806,1000,1199,1099.5,Condo Apartment,Apartment,43.799314,-79.1484873
E18 Orchid Pl Room 2 Toronto,1,1,Condo Townhouse 3-Storey,1400,1000-1199,E10415851,1000,1199,1099.5,Condo Townhouse,3-Storey,43.70011,-79.4163
1121 Bay St 1402 Toronto,1,1,Condo Apt Apartment,1400,1000-1199,C9398305,1000,1199,1099.5,Condo Apartment,Apartment,-33.0090271,151.5947431
1378 Danforth Ave 3 Toronto,1,1,Condo Apt Apartment,1400,600-699,E9396307,600,699,649.5,Condo Apartment,Apartment,43.6958795,-79.2672287
7 Falaise Rd A Toronto,1,1,Condo Townhouse 2-Storey,1400,0-499,E9255134,0,499,249.5,Condo Townhouse,2-Storey,43.7726629,-79.1903001
420 Lake Shore G02 Blvd W 2nd Bed Toronto,1,1,Condo Townhouse Stacked Townhse,1450,0-499,C9256479,0,499,249.5,Condo Townhouse,Stacked Townhse,43.70011,-79.4163
757 Dovercourt Rd F Toronto,1,1,Condo Apt Bachelor/Studio,1495,0-499,W10929171,0,499,249.5,Condo Apartment,Bachelor/Studio,43.6659512,-79.4311859
909 Bay St 604-S Toronto,1,1,Condo Apt Apartment,1500,1000-1199,C9284109,1000,1199,1099.5,Condo Apartment,Apartment,-33.0090271,151.5947431
17 Bathurst St 2901 Toronto,1+1,1,Room Apartment,1500,500-599,C9282402,500,599,549.5,Room,Apartment,43.6400792,-79.4011346
3 Sudbury St 302 Toronto,1,1,Condo Townhouse Stacked Townhse,1500,700-799,C9752090,700,799,749.5,Condo Townhouse,Stacked Townhse,43.6410556,-79.4181485
6A Leaside Park Dr Toronto,1,2,Room 3-Storey,1500,2500-2749,C10432649,2500,2749,2624.5,Room,3-Storey,43.7027844,-79.3502602
1378 Danforth Ave 2 Toronto,1,1,Condo Apt Apartment,1500,600-699,E9396304,600,699,649.5,Condo Apartment,Apartment,43.6958795,-79.2672287
10 Capreol Crt 1057 Toronto,1,2,Condo Apt Apartment,1500,600-699,C9514453,600,699,649.5,Condo Apartment,Apartment,43.6403625,-79.3960908
57 St Joseph St 1123 Toronto,1,1,Shared Room Apartment,1500,0-499,C10408062,0,499,249.5,Room,Apartment,43.6652128,-79.3895902
10 York St 1107 Toronto,1,1,Condo Apt Apartment,1500,600-699,C9344480,600,699,649.5,Condo Apartment,Apartment,43.6412138,-79.3811625
104 Regent St Toronto,1,1,Condo Townhouse 2-Storey,1550,1400-1599,C10404949,1400,1599,1499.5,Condo Townhouse,2-Storey,43.6607753,-79.36502
99 Broadway Ave 2709 Toronto,1,1,Condo Apt Apartment,1590,600-699,C10419429,600,699,649.5,Condo Apartment,Apartment,43.7106014,-79.3933234
827 Albion Rd Toronto,1,1,Upper Level Apartment,1600,500-599,W10291582,500,599,549.5,Upper Level,Apartment,43.7342503,-79.5595228
49 East Liberty St 2603 Toronto,1,1,Condo Apt Apartment,1600,800-899,C10781910,800,899,849.5,Condo Apartment,Apartment,43.638846,-79.412554
21 Carlton St 1205 Toronto,1,2,Room Apartment,1650,900-999,C9419501,900,999,949.5,Room,Apartment,43.6611031,-79.3820727
60 Ann O'reilly Rd 260 Toronto,1,1,Condo Apt Apartment,1650,1200-1399,C9513758,1200,1399,1299.5,Condo Apartment,Apartment,43.7740543,-79.3297294
47 Mutual St 802 Toronto,1,1,Condo Apt Apartment,1650,900-999,C9512857,900,999,949.5,Condo Apartment,Apartment,43.6546586,-79.3747658
57 St Joseph St 313 Toronto,1,1,Condo Apt Apartment,1650,1000-1199,C9398764,1000,1199,1099.5,Condo Apartment,Apartment,43.6660258,-79.3851688
25 Adra Grado Way 1026 Br Toronto,1,1,Condo Apt Apartment,1680,1000-1199,C10418575,1000,1199,1099.5,Condo Apartment,Apartment,43.7766367,-79.3660178
45 Charles St E 2312 Toronto,1,1,Condo Apt Apartment,1700,800-899,C10279421,800,899,849.5,Condo Apartment,Apartment,43.6687602,-79.3838568
25 Carlton St 2007 Toronto,1,1,Condo Apt Apartment,1700,800-899,C10420328,800,899,849.5,Condo Apartment,Apartment,43.6612932,-79.3818577
70 Forest Manor Rd 3308 Toronto,1,1,Condo Apt Apartment,1700,1000-1199,C10412749,1000,1199,1099.5,Condo Apartment,Apartment,43.7750174,-79.3461257
32 Townsend Rd Toronto,1,1,Condo Townhouse 3-Storey,1750,500-599,C9344699,500,599,549.5,Condo Townhouse,3-Storey,43.8110223,-79.3573833
330 Richmond St W 603 Toronto,1,1,Condo Apt Apartment,1770,500-599,C9513282,500,599,549.5,Condo Apartment,Apartment,43.6488173,-79.3927057
1446 Yonge St 7 Toronto,1,1,Condo Apt Bachelor/Studio,1795,0-499,C10441502,0,499,249.5,Condo Apartment,Bachelor/Studio,43.6499676,-79.3760872
750 Bay St 1110 Toronto,1,1,Condo Apt Apartment,1800,800-899,C9368047,800,899,849.5,Condo Apartment,Apartment,43.6596943,-79.3859283
195 McCaul St 1114 Toronto,1,1,Condo Apt Apartment,1800,0-499,C10414508,0,499,249.5,Condo Apartment,Apartment,43.65607,-79.3920585
448 Spadina Rd 106 Toronto,1,1,Other Apartment,1845,500-599,C9419486,500,599,549.5,Other,Apartment,43.6892827,-79.4133023
448 Spadina Rd 407 Toronto,1,1,Other Apartment,1845,500-599,C10415271,500,599,549.5,Other,Apartment,43.6892827,-79.4133023
8 Cumberland St 4702 Toronto,1,1,Condo Apt Apartment,1850,700-799,C9395205,700,799,749.5,Condo Apartment,Apartment,43.671126,-79.3875666
90 Glen Everest Rd 308 Toronto,1,1,Condo Apt Apartment,1850,0-499,E9768654,0,499,249.5,Condo Apartment,Apartment,43.7030414,-79.2524652
191 St George St 907 Toronto,1,1,Condo Apt Apartment,1850,600-699,C10416131,600,699,649.5,Condo Apartment,Apartment,13.1339781,-59.5403557
55 Bremner Blvd 3207 Toronto,1,1,Condo Apt Apartment,1850,800-899,C10422353,800,899,849.5,Condo Apartment,Apartment,43.6422661,-79.3807701
191 St George St 707 Toronto,1,1,Condo Apt Apartment,1850,600-699,C10414485,600,699,649.5,Condo Apartment,Apartment,13.1339781,-59.5403557
1 Falaise Rd 101 Toronto,1,1,Condo Apt Apartment,1850,0-499,E10431104,0,499,249.5,Condo Apartment,Apartment,43.7684297,-79.1887339
2191 Yonge St 811 Toronto,1,1,Condo Apt Apartment,1880,1000-1199,C9400140,1000,1199,1099.5,Condo Apartment,Apartment,43.6501398,-79.3761593
2 Kingston Rd 16 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E10417226,700,799,749.5,Co-Op Apartment,Apartment,43.6682083,-79.3122977
126 Dundas St E 205 Toronto,1,1,Upper Level Apartment,1900,500-599,C9382446,500,599,549.5,Upper Level,Apartment,43.6567513,-79.3763846
4 Kingston Rd 39 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E9770105,700,799,749.5,Co-Op Apartment,Apartment,43.6760936,-79.3054922
12 Kingston Rd 77 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E9382560,700,799,749.5,Co-Op Apartment,Apartment,43.6760936,-79.3054922
195 McCaul St 219 Toronto,1,1,Condo Apt Apartment,1900,0-499,C10421461,0,499,249.5,Condo Apartment,Apartment,43.6553048,-79.3918483
120 Parliament St 1307 Toronto,1,1,Condo Apt Apartment,1900,0-499,C9512638,0,499,249.5,Condo Apartment,Apartment,43.6539987,-79.3639077
156 Kingston Rd 10 Toronto,1,1,Condo Apt Apartment,1900,600-699,E10440918,600,699,649.5,Condo Apartment,Apartment,43.6760936,-79.3054922
156 Kingston Rd 306 Toronto,1,1,Condo Apt Apartment,1900,600-699,E9465244,600,699,649.5,Condo Apartment,Apartment,43.6711371,-79.3113884
10 Kingston Rd 92 Toronto,1,1,Condo Apt Apartment,1900,700-799,E9236039,700,799,749.5,Condo Apartment,Apartment,43.6760936,-79.3054922
15 Fort York Blvd 4503 Toronto,1,1,Condo Apt Apartment,1900,800-899,C9509921,800,899,849.5,Condo Apartment,Apartment,43.64004,-79.393893
18 Yorkville Ave 505 Toronto,1+0,1,Condo Apt Apartment,1900,0-499,C10416994,0,499,249.5,Condo Apartment,Apartment,43.6720811,-79.3878883
156 Kingston Rd 216 Toronto,1,1,Condo Apt Apartment,1900,600-699,E9506710,600,699,649.5,Condo Apartment,Apartment,43.6711371,-79.3113884
39 Brant St 716 Toronto,1,1,Condo Apt Apartment,1900,0-499,C10414582,0,499,249.5,Condo Apartment,Apartment,43.6465184,-79.3981156
2135 Avenue Rd 102 Toronto,1,0,Other Apartment,1925,500-599,C9399205,500,599,549.5,Other,Apartment,43.7391255,-79.4207972
414 Jarvis St E 104 Toronto,1,1,Co-Op Apt Apartment,1930,500-599,C9416198,500,599,549.5,Co-Op Apartment,Apartment,43.6504511,-79.3718903
414 Jarvis St E 207 Toronto,1,1,Co-Op Apt Apartment,1930,500-599,C9390221,500,599,549.5,Co-Op Apartment,Apartment,43.6562555,-79.374232
1 Triller Ave 207 Toronto,1,1,Condo Apt Apartment,1945,500-599,W9767885,500,599,549.5,Condo Apartment,Apartment,43.6378559,-79.4432895
195 McCaul St 1309 Toronto,1,1,Condo Apt Apartment,1950,0-499,C10426054,0,499,249.5,Condo Apartment,Apartment,43.65607,-79.3920585
77 Shuter St 2015 Toronto,1,1,Condo Apt Bachelor/Studio,1950,0-499,C10424330,0,499,249.5,Condo Apartment,Bachelor/Studio,43.654819,-79.3753414
2362 Islington Ave 14 Toronto,1,1,Comm Element Condo 2-Storey,1950,600-699,W9379783,600,699,649.5,Common Element Condo,2-Storey,43.6510769,-79.5262962
127 Broadway Ave 302 Toronto,1,1,Condo Apt Apartment,1950,0-499,C10422618,0,499,249.5,Condo Apartment,Apartment,43.7109296,-79.3916966
781 St Clair Ave W 5 Toronto,1,1,Other Apartment,1950,0-499,C10874895,0,499,249.5,Other,Apartment,43.6671499,-79.4919897
500 Wilson Ave 637 Toronto,1,1,Condo Apt Apartment,1950,0-499,C10707946,0,499,249.5,Condo Apartment,Apartment,43.7351743,-79.4450911
127 Broadway Ave 1507 Toronto,1,1,Condo Apt Apartment,1950,500-599,C10433377,500,599,549.5,Condo Apartment,Apartment,43.7109296,-79.3916966
117 Broadway Ave 308 Toronto,1,1,Condo Apt Apartment,1975,0-499,C10707743,0,499,249.5,Condo Apartment,Apartment,43.7108124,-79.3922776
420 Eglinton Ave E 301 Toronto,1,1,Condo Apt Apartment,1975,500-599,C10431315,500,599,549.5,Condo Apartment,Apartment,43.7097968,-79.3853068
191 St George St 804 Toronto,1,1,Condo Apt Apartment,1975,600-699,C9374627,600,699,649.5,Condo Apartment,Apartment,43.6716392,-79.4010989
2515 Eglinton Ave W 301 Toronto,1,1,Condo Apt Apartment,1975,600-699,W9012948,600,699,649.5,Condo Apartment,Apartment,43.6909318,-79.4706356
77 SHUTER St 1915 Toronto,1,1,Condo Apt Apartment,1980,0-499,C10411546,0,499,249.5,Condo Apartment,Apartment,43.654819,-79.3753414
127 Broadway Ave 1610 Toronto,1,1,Condo Apt Apartment,1980,500-599,C10429969,500,599,549.5,Condo Apartment,Apartment,43.7103981,-79.3922121
117 BROADWAY Ave N 311 Toronto,1,1,Condo Apt Apartment,1995,0-499,C10430564,0,499,249.5,Condo Apartment,Apartment,43.7127791,-79.3831581
1 Triller Ave 308 Toronto,1,1,Condo Apt Apartment,1995,500-599,W9767851,500,599,549.5,Condo Apartment,Apartment,43.6378559,-79.4432895
630 Queen St E 416 Toronto,1,1,Condo Apt Apartment,1995,500-599,E10411321,500,599,549.5,Condo Apartment,Apartment,43.6584396,-79.3524577
1401 Dupont St 227 Toronto,1,1,Condo Apt Apartment,1999,500-599,W9262276,500,599,549.5,Condo Apartment,Apartment,43.6665476,-79.4466357
105 The Queensway 409 Toronto,1,1,Condo Apt Apartment,1999,500-599,W10427461,500,599,549.5,Condo Apartment,Apartment,43.6361579,-79.4706161
9 Croham Rd 215 Toronto,1,1,Condo Apt Apartment,1999,500-599,W10423955,500,599,549.5,Condo Apartment,Apartment,43.6930258,-79.4642264
9 Croham Rd 314 Toronto,1,1,Condo Apt Apartment,1999,500-599,W10423930,500,599,549.5,Condo Apartment,Apartment,43.692792,-79.4640162
2895 Bathurst St 309 Toronto,1,1,Co-Op Apt Apartment,1999,700-799,C10428584,700,799,749.5,Co-Op Apartment,Apartment,43.7147729,-79.4283435
3 Swift Dr 409 Toronto,1,1,Other Apartment,2000,700-799,C10424653,700,799,749.5,Other,Apartment,43.7266725,-79.3177624
219 Dundas St E 2215 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10273551,500,599,549.5,Condo Apartment,Apartment,43.657314,-79.373234
251 Jarvis St 318 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10427807,0,499,249.5,Condo Apartment,Apartment,43.6575462,-79.3746154
1401 Dupont St 123 Toronto,1,1,Co-Ownership Apt Apartment,2000,500-599,W9393500,500,599,549.5,Co-Ownership Apartment,Apartment,43.6665476,-79.4466357
887 bay St 1612 Toronto,1+1,1,Comm Element Condo Apartment,2000,1000-1199,C10428088,1000,1199,1099.5,Common Element Condo,Apartment,-33.0090271,151.5947431
195 McCaul St 419 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9416149,0,499,249.5,Condo Apartment,Apartment,43.65607,-79.3920585
399 Dupont St 202 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9923406,0,499,249.5,Condo Apartment,Apartment,43.67352,-79.4119485
117 Broadway Ave 312 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10421088,500,599,549.5,Condo Apartment,Apartment,43.7108124,-79.3922776
230 Simcoe St 2213 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10432517,0,499,249.5,Condo Apartment,Apartment,43.6535682,-79.3888769
65 St Mary St 2502 Toronto,1,1,Condo Apt Apartment,2000,800-899,C9392190,800,899,849.5,Condo Apartment,Apartment,43.6679624,-79.3859736
20 Meadowglen Pl 634 Toronto,1,1,Condo Apt Apartment,2000,500-599,E10400941,500,599,549.5,Condo Apartment,Apartment,43.7744578,-79.2294636
127 Broadway Ave 1006 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10422638,500,599,549.5,Condo Apartment,Apartment,43.7103981,-79.3922121
896 Eglinton Ave E 110 Toronto,1,1,Condo Apt Apartment,2000,600-699,C10403078,600,699,649.5,Condo Apartment,Apartment,43.7142554,-79.3628284
1195 The Queensway 209 Toronto,1,1,Condo Apt Apartment,2000,500-599,W10407681,500,599,549.5,Condo Apartment,Apartment,43.6385616,-79.4467074
1195 The Queensway 208 Toronto,1,1,Condo Apt Apartment,2000,500-599,W10412593,500,599,549.5,Condo Apartment,Apartment,43.6385616,-79.4467074
230 Simcoe St 2220 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10845423,0,499,249.5,Condo Apartment,Apartment,43.6535682,-79.3888769
1401 Dupont St 232 Toronto,1,1,Co-Op Apt Apartment,2000,500-599,W9393114,500,599,549.5,Co-Op Apartment,Apartment,43.6665476,-79.4466357
1407 Dupont St 202 Toronto,1,1,Co-Op Apt Apartment,2000,500-599,W10440524,500,599,549.5,Co-Op Apartment,Apartment,43.6661739,-79.4483872
165 Cosburn Ave 602 Toronto,1,1,Condo Apt Apartment,2000,800-899,E10441771,800,899,849.5,Condo Apartment,Apartment,43.6897768,-79.345525
719 Lawrence Ave W 49 Toronto,1,1,Condo Townhouse 2-Storey,2000,600-699,W9385544,600,699,649.5,Condo Townhouse,2-Storey,43.7144698,-79.4518117
103 The Queensway 1211 Toronto,1,1,Condo Apt Apartment,2000,0-499,W10404583,0,499,249.5,Condo Apartment,Apartment,43.6362908,-79.4703742
127 Broadway Ave 616S Toronto,1,1,Condo Apt Apartment,2000,500-599,C10422614,500,599,549.5,Condo Apartment,Apartment,43.7100942,-79.3963964
11 Wincott Dr 602 Toronto,1,1,Condo Apt Apartment,2000,900-999,W10431061,900,999,949.5,Condo Apartment,Apartment,43.6951891,-79.5507803
500 Wilson Ave 627 Toronto,1+1,1,Condo Apt Apartment,2000,0-499,C10421917,0,499,249.5,Condo Apartment,Apartment,43.7351743,-79.4450911
195 McCaul St 603 Toronto,1,1,Condo Apt Apartment,2000,500-599,C9391768,500,599,549.5,Condo Apartment,Apartment,43.65607,-79.3920585
130 River St 3006 Toronto,1,1,Comm Element Condo Bachelor/Studio,2000,0-499,C9418078,0,499,249.5,Common Element Condo,Bachelor/Studio,43.6613192,-79.3583924
117 Broadway Ave 406 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10429677,500,599,549.5,Condo Apartment,Apartment,43.7108124,-79.3922776
126 Dundas St E 202 Toronto,1,1,Upper Level Apartment,2000,500-599,C10402964,500,599,549.5,Upper Level,Apartment,43.6567513,-79.3763846
425 front St E 704 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9418401,0,499,249.5,Condo Apartment,Apartment,43.6528094,-79.3568785
230 Simcoe St 2121 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10429351,0,499,249.5,Condo Apartment,Apartment,43.6535682,-79.3888769
30 Gloucester St 1903 Toronto,1,1,Co-Ownership Apt Apartment,2000,600-699,C10424393,600,699,649.5,Co-Ownership Apartment,Apartment,43.6671809,-79.3840008
90 Glen Everest Rd 704 Toronto,1,1,Condo Apt Apartment,2000,0-499,E10423301,0,499,249.5,Condo Apartment,Apartment,43.7030414,-79.2524652
1401 Dupont St 206 Toronto,1+1,1,Condo Apt Apartment,2000,600-699,W9800625,600,699,649.5,Condo Apartment,Apartment,43.6665476,-79.4466357
127 Broadway Ave 614S Toronto,1,1,Condo Apt Apartment,2000,500-599,C10430936,500,599,549.5,Condo Apartment,Apartment,43.7100942,-79.3963964
629 King St W 710 Toronto,1,1,Condo Apt Apartment,2000,500-599,C10415747,500,599,549.5,Condo Apartment,Apartment,43.64388,-79.4015516
68 Corporate Dr 1523 Toronto,1,1,Co-Op Apt Apartment,2000,600-699,E10429428,600,699,649.5,Co-Op Apartment,Apartment,43.7803,-79.2508998
230 Simcoe St 2211 Toronto,1+0,1,Condo Apt Apartment,2000,0-499,C10429881,0,499,249.5,Condo Apartment,Apartment,43.6535682,-79.3888769
195 McCaul St 1214 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10416884,0,499,249.5,Condo Apartment,Apartment,43.65607,-79.3920585
2470 Eglinton Ave W 106 Toronto,1,1,Condo Apt Apartment,2000,700-799,W10874727,700,799,749.5,Condo Apartment,Apartment,43.6924613,-79.4683505
215 Queen St W 1406 Toronto,1,1,Condo Apt Apartment,2000,0-499,C9418929,0,499,249.5,Condo Apartment,Apartment,43.6503428,-79.3878063
2737 Keele St 215 Toronto,1,1,Condo Apt Apartment,2000,500-599,W9377439,500,599,549.5,Condo Apartment,Apartment,43.6674244,-79.4654049
195 McCaul St 1414 Toronto,1,1,Condo Apt Apartment,2000,0-499,C10430477,0,499,249.5,Condo Apartment,Apartment,43.65607,-79.3920585
319 Jarvis St 2005 Toronto,1,1,Condo Apt Apartment,2025,0-499,C9356775,0,499,249.5,Condo Apartment,Apartment,43.6598054,-79.3755088
270 Dufferin St N 922 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9874033,0,499,249.5,Condo Apartment,Apartment,43.6904731,-79.4480993
117 Broadway Ave 404 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10426144,500,599,549.5,Condo Apartment,Apartment,43.7108124,-79.3922776
127 Broadway Ave N 709 S Toronto,1,1,Condo Apt Apartment,2050,500-599,C10418904,500,599,549.5,Condo Apartment,Apartment,43.7136464,-79.3788781
500 Wilson Ave 619 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10415561,0,499,249.5,Condo Apartment,Apartment,43.7351743,-79.4450911
425 Front St E 803 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9508499,0,499,249.5,Condo Apartment,Apartment,43.6528094,-79.3568785
251 Jarvis St 420 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10707907,500,599,549.5,Condo Apartment,Apartment,43.6575462,-79.3746154
117 Broadway Ave 512 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10422814,500,599,549.5,Condo Apartment,Apartment,43.7108124,-79.3922776
215 Queen St W 1106 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9393977,0,499,249.5,Condo Apartment,Apartment,43.6503428,-79.3878063
68 Shuter St 1601 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10412058,500,599,549.5,Condo Apartment,Apartment,43.6551918,-79.375681
629 King St W 1318 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10406137,0,499,249.5,Condo Apartment,Apartment,43.64388,-79.4015516
117 BROADWAY Ave N 611 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10442681,0,499,249.5,Condo Apartment,Apartment,43.7127791,-79.3831581
29 Singer Crt 1906 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9512859,0,499,249.5,Condo Apartment,Apartment,43.7692228,-79.3687015
270 Dufferin St 325 Toronto,1,1,Condo Apt Apartment,2050,0-499,W9375222,0,499,249.5,Condo Apartment,Apartment,43.6385984,-79.4274086
117 Broadway Ave 606 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10430707,500,599,549.5,Condo Apartment,Apartment,43.7108124,-79.3922776
1285 Dupont St N 2108 Toronto,1,1,Condo Apt Apartment,2050,0-499,W9512984,0,499,249.5,Condo Apartment,Apartment,-33.5966,151.3238
1285 DuPont St 2707 Toronto,1,1,Condo Apt Apartment,2050,500-599,W10874939,500,599,549.5,Condo Apartment,Apartment,43.6758488,-79.4023796
117 Broadway Ave 604 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10416431,500,599,549.5,Condo Apartment,Apartment,43.7108124,-79.3922776
195 McCaul St 708 Toronto,1,1,Condo Apt Apartment,2050,500-599,C9394844,500,599,549.5,Condo Apartment,Apartment,43.65607,-79.3920585
251 Jarvis St 3001 Toronto,1,1,Condo Apt Apartment,2050,0-499,C10768546,0,499,249.5,Condo Apartment,Apartment,43.6575462,-79.3746154
500 Wilson Ave 727 Toronto,1+1,1,Condo Apt Apartment,2050,0-499,C10440532,0,499,249.5,Condo Apartment,Apartment,43.7351743,-79.4450911
35 Hayden St 615 Toronto,1,1,Condo Apt Apartment,2050,500-599,C9768083,500,599,549.5,Condo Apartment,Apartment,43.6695584,-79.3846569
215 Queen St W 1915 Toronto,1,1,Condo Apt Multi-Level,2050,0-499,C10416663,0,499,249.5,Condo Apartment,Multi-Level,43.6503428,-79.3878063
42 Charles St E 703 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9372793,0,499,249.5,Condo Apartment,Apartment,43.6693907,-79.3825405
127 Broadway Ave 1310 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10428810,500,599,549.5,Condo Apartment,Apartment,43.7109296,-79.3916966
251 Jarvis St 934 Toronto,1,1,Condo Apt Apartment,2050,500-599,C10428833,500,599,549.5,Condo Apartment,Apartment,43.6504511,-79.3718903
2789 Eglinton Ave E 434 Toronto,1,1,Condo Townhouse Stacked Townhse,2050,500-599,E10446888,500,599,549.5,Condo Townhouse,Stacked Townhse,43.7370167,-79.2458624
1285 Dupont St 808 Toronto,1,1,Condo Apt Apartment,2050,500-599,W9419964,500,599,549.5,Condo Apartment,Apartment,43.6644714,-79.4587047
195 McCaul St 312 Toronto,1+1,1,Condo Apt Loft,2050,500-599,C9349647,500,599,549.5,Condo Apartment,Loft,43.65607,-79.3920585
500 Dupont St 612 Toronto,1,1,Condo Apt Apartment,2050,0-499,C9382946,0,499,249.5,Condo Apartment,Apartment,43.6729259,-79.4160201
1442 Lawrence Ave W 1011 Toronto,1,1,Condo Apt Apartment,2075,700-799,W9399446,700,799,749.5,Condo Apartment,Apartment,43.7086375,-79.4803711
1285 Dupont St 706 Toronto,1,1,Condo Apt Apartment,2075,500-599,W9375153,500,599,549.5,Condo Apartment,Apartment,43.6644714,-79.4587047
127 Broadway Ave N 610 S Toronto,1,1,Condo Apt Apartment,2075,500-599,C10442871,500,599,549.5,Condo Apartment,Apartment,43.7136464,-79.3788781
181 Dundas St E 3008 Toronto,1,1,Condo Apt Apartment,2075,0-499,C10415368,0,499,249.5,Condo Apartment,Apartment,43.6570484,-79.3739306
219 Dundas St E 1115 Toronto,1,1,Condo Apt Apartment,2080,500-599,C10845515,500,599,549.5,Condo Apartment,Apartment,43.657314,-79.373234
165 Canon Jackson Dr 508 Toronto,1,1,Condo Apt Apartment,2090,500-599,W9416321,500,599,549.5,Condo Apartment,Apartment,43.6975147,-79.4740131
721 Lawrence Ave W 67 Toronto,1,2,Condo Townhouse Stacked Townhse,2090,500-599,W9381561,500,599,549.5,Condo Townhouse,Stacked Townhse,43.7144698,-79.4518117
108 PETER St 815 Toronto,1,1,Condo Apt Apartment,2095,0-499,C10874894,0,499,249.5,Condo Apartment,Apartment,43.6476319,-79.3934535
1 Falaise Rd 405 Toronto,1,1,Condo Apt Apartment,2099,500-599,E10428974,500,599,549.5,Condo Apartment,Apartment,43.7684297,-79.1887339
392 Jane St 102 Toronto,1,1,Condo Apt Apartment,2099,700-799,W10413206,700,799,749.5,Condo Apartment,Apartment,43.6580085,-79.4883703
127 Broadway Ave 415 Toronto,1,1,Condo Apt Apartment,2100,500-599,C10417675,500,599,549.5,Condo Apartment,Apartment,43.7109296,-79.3916966
1285 Dupont St 2208 Toronto,1,1,Condo Apt Loft,2100,500-599,W10420818,500,599,549.5,Condo Apartment,Loft,43.6758488,-79.4023796
1461 Lawrence Ave W 1303 Toronto,1,1,Condo Apt Apartment,2100,0-499,W10929178,0,499,249.5,Condo Apartment,Apartment,43.707879,-79.4803128
150 Sudbury St 812 Toronto,1,1,Condo Apt Loft,2100,500-599,C10408606,500,599,549.5,Condo Apartment,Loft,43.6414778,-79.424089
320 Richmond St E 1518 Toronto,1,1,Condo Apt Apartment,2100,500-599,C9370472,500,599,549.5,Condo Apartment,Apartment,43.6536235,-79.3686525
319 Jarvis St 4305 Toronto,1,1,Condo Apt Apartment,2100,0-499,C9510548,0,499,249.5,Condo Apartment,Apartment,43.6598054,-79.3755088
