address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style,Lat,Lon
4955 Yonge St 718 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9418513,0,499,249.5,Condo Apartment,Apartment,43.6499676,-79.3760872
19 Bathurst St 815 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10418502,500,599,549.5,Condo Apartment,Apartment,43.6375253,-79.3997172
38 Dan Leckie Way 2606 Toronto,1,1,Condo Apt Apartment,2250,600-699,C9378277,600,699,649.5,Condo Apartment,Apartment,43.6374517,-79.398215
57 St. Joseph St 2908 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10423466,0,499,249.5,Condo Apartment,Apartment,43.6660258,-79.3851688
6 Humberline Dr 319 Toronto,1+1,1,Condo Apt Apartment,2250,800-899,W10441528,800,899,849.5,Condo Apartment,Apartment,43.7319764,-79.6092417
90 Stadium Rd 613 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9395595,500,599,549.5,Condo Apartment,Apartment,43.6350565,-79.4014216
169 Fort York Blvd 319 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9415695,500,599,549.5,Condo Apartment,Apartment,43.6382802,-79.4011498
33 Helendale Ave 1306 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9394266,0,499,249.5,Condo Apartment,Apartment,43.7087152,-79.3993834
159 Dundas St E 2904 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9509643,500,599,549.5,Condo Apartment,Apartment,43.65678,-79.374946
151 Dan Leckie Way 541 Toronto,1+1,1,Condo Apt Apartment,2250,600-699,C10408655,600,699,649.5,Condo Apartment,Apartment,43.639821,-79.3977744
2221 Yonge St 3907 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10418554,0,499,249.5,Condo Apartment,Apartment,43.7060755,-79.3976429
195 McCaul St 313 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C9364577,500,599,549.5,Condo Apartment,Apartment,43.65607,-79.3920585
1030 King St W 936 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9508847,0,499,249.5,Condo Apartment,Apartment,43.6392151,-79.4260299
30 Herons Hill Way 1904 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9395855,0,499,249.5,Condo Apartment,Apartment,43.7749455,-79.3354696
161 Roehampton Ave 1005 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10416155,500,599,549.5,Condo Apartment,Apartment,43.7088207,-79.3940449
55 Ann O'Reilly Rd 1003 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9352482,500,599,549.5,Condo Apartment,Apartment,43.7740543,-79.3297294
15 Holmes Ave 1906 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9371233,0,499,249.5,Condo Apartment,Apartment,43.77779,-79.4139215
243 Perth Ave 210 Toronto,1,1,Condo Apt Apartment,2250,500-599,W10430815,500,599,549.5,Condo Apartment,Apartment,43.6612945,-79.4502416
135 East Liberty St 1809 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9365012,0,499,249.5,Condo Apartment,Apartment,43.6384379,-79.4163816
1928 Lake Shore Blvd W 2315 Toronto,1,1,Condo Apt Apartment,2250,0-499,W10415373,0,499,249.5,Condo Apartment,Apartment,43.6357058,-79.4673269
31 Bales Ave 1109 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10845470,500,599,549.5,Condo Apartment,Apartment,43.7601217,-79.408924
80 Esther Lorrie Dr 717 Toronto,1,1,Condo Apt Apartment,2250,500-599,W9399053,500,599,549.5,Condo Apartment,Apartment,43.7319406,-79.5769949
2033 Kennedy Rd 1102 Toronto,1,1,Condo Apt Apartment,2250,0-499,E10417126,0,499,249.5,Condo Apartment,Apartment,43.7132814,-79.2602286
323 Richmond St E 1114 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9512250,500,599,549.5,Condo Apartment,Apartment,43.6550338,-79.3587232
12 Bonnycastle St 723 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9360038,500,599,549.5,Condo Apartment,Apartment,43.645729,-79.364291
127 Broadway Ave 402 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10421407,500,599,549.5,Condo Apartment,Apartment,43.7109296,-79.3916966
327 King St W 1401 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9349003,0,499,249.5,Condo Apartment,Apartment,43.6461484,-79.3911251
2031 Kennedy Rd 2319 Toronto,1,1,Condo Apt Apartment,2250,0-499,E10408105,0,499,249.5,Condo Apartment,Apartment,43.7717499,-79.2829632
250 Lawrence Ave W 601 Toronto,1,1,Condo Apt Apartment,2250,0-499,C10415206,0,499,249.5,Condo Apartment,Apartment,43.7226386,-79.4133376
313 Richmond St 756 Toronto,1+1,1,Condo Apt Apartment,2250,500-599,C10927337,500,599,549.5,Condo Apartment,Apartment,43.6531434,-79.3693605
55 Charles St 4207 Toronto,1,1,Condo Apt Apartment,2250,500-599,C10707831,500,599,549.5,Condo Apartment,Apartment,43.6687877,-79.3862688
30 Samuel Wood Way 1907 Toronto,1,1,Condo Apt Apartment,2250,0-499,W10422250,0,499,249.5,Condo Apartment,Apartment,43.6347467,-79.5406728
629 King St W 818 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9387115,0,499,249.5,Condo Apartment,Apartment,43.6392151,-79.4260299
33 Isabella St 606 Toronto,1,1,Condo Apt Apartment,2250,500-599,C9386207,500,599,549.5,Condo Apartment,Apartment,43.6676271,-79.3836681
33 Isabella St 2311 Toronto,1,1,Condo Apt Apartment,2250,0-499,C9384966,0,499,249.5,Condo Apartment,Apartment,43.6676271,-79.3836681
3091 Dufferin Ave 211 Toronto,1,1,Condo Apt Apartment,2250,500-599,W10428037,500,599,549.5,Condo Apartment,Apartment,43.6576343,-79.4318457
56 Annie Craig Dr 708 Toronto,1,1,Condo Apt Apartment,2250,0-499,W10422414,0,499,249.5,Condo Apartment,Apartment,43.6254684,-79.4784276
