address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style,LAT,LONG
88 Corporate Dr 1010 Toronto,1+1,1,Condo Apt Apartment,2600,700-799,E10425653,700,799,749.5,Condo Apartment,Apartment,43.7810837,-79.2498276
3018 Yonge St 304 Toronto,1,1,Condo Apt Apartment,2600,600-699,C10405723,600,699,649.5,Condo Apartment,Apartment,43.7244341,-79.4022961
195 Redpath Ave 3405 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C10412449,600,699,649.5,Condo Apartment,Apartment,43.7101997,-79.3932422
120 Harrison Garden Blvd PH02 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C10404950,500,599,549.5,Condo Apartment,Apartment,43.7580581,-79.40333679999999
251 Jarvis St 1029 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C10421514,500,599,549.5,Condo Apartment,Apartment,43.65737670000001,-79.3744501
55 Cooper St 7102 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C9367670,600,699,649.5,Condo Apartment,Apartment,43.6449002,-79.37180579999999
50 Charles St E 1209 Toronto,1,1,Condo Apt Apartment,2600,500-599,C9345566,500,599,549.5,Condo Apartment,Apartment,43.6693054,-79.3838586
403 Church St 1809 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C9770291,600,699,649.5,Condo Apartment,Apartment,43.6622424,-79.37927909999999
327 King St W 3703 Toronto,1,1,Condo Apt Apartment,2600,500-599,C9384360,500,599,549.5,Condo Apartment,Apartment,43.6461914,-79.39106269999999
15 Viking Lane 901 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,W10874846,600,699,649.5,Condo Apartment,Apartment,43.6393665,-79.53531070000001
55 cooper St 4002 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10429872,600,699,649.5,Condo Apartment,Apartment,43.6449002,-79.37180579999999
609 Avenue Rd 1408 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C10392988,600,699,649.5,Condo Apartment,Apartment,43.68963280000001,-79.40232929999999
327 King St W 4503 Toronto,1,1,Condo Apt Apartment,2600,500-599,C9378753,500,599,549.5,Condo Apartment,Apartment,43.6461914,-79.39106269999999
14 York St 5004 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C9373989,600,699,649.5,Condo Apartment,Apartment,43.64195290000001,-79.38201629999999
223 St Clair Ave W 710 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C10874826,600,699,649.5,Condo Apartment,Apartment,43.685681,-79.4046791
25 Town Centre Crt 2203 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,E10408866,600,699,649.5,Condo Apartment,Apartment,43.7732998,-79.2547306
585 Bloor St E 327 Toronto,1,1,Condo Apt Apartment,2600,700-799,C9397904,700,799,749.5,Condo Apartment,Apartment,43.6717536,-79.3714449
125 Redpath Ave 2605 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C10408982,600,699,649.5,Condo Apartment,Apartment,43.7076393,-79.39241249999999
125 Redpath Ave 2106 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C9506985,600,699,649.5,Condo Apartment,Apartment,43.7076393,-79.39241249999999
85 Mcmahon Dr 2115 Toronto,1,1,Condo Apt Apartment,2600,500-599,C10425898,500,599,549.5,Condo Apartment,Apartment,43.7669136,-79.37223569999999
25 Richmond St E 2806 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C9767862,600,699,649.5,Condo Apartment,Apartment,43.6519017,-79.37721650000002
50 Charles St E 1101 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C10875126,500,599,549.5,Condo Apartment,Apartment,43.6693054,-79.3838586
5 Valhalla Inn Rd 1201 Toronto,1+1,1,Condo Apt Apartment,2600,700-799,W10415366,700,799,749.5,Condo Apartment,Apartment,43.6401771,-79.55999849999999
1100 Sheppard Ave W 1531 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,W10416846,600,699,649.5,Condo Apartment,Apartment,43.7517462,-79.46637489999999
30 Harrison Garden Blvd 2109 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,C9306148,600,699,649.5,Condo Apartment,Apartment,43.7565538,-79.408622
293 The Kingsway 418 Toronto,1+1,1,Condo Apt Apartment,2600,600-699,W10428538,600,699,649.5,Condo Apartment,Apartment,43.66335309999999,-79.52034280000001
77 Shuter St 715 Toronto,1,2,Condo Apt Loft,2600,600-699,C10440535,600,699,649.5,Condo Apartment,Loft,43.6549921,-79.375121
1808 St Clair Ave W 1002 Toronto,1,1,Condo Apt Apartment,2600,700-799,W9512797,700,799,749.5,Condo Apartment,Apartment,43.6738836,-79.4624341
2885 Bayview Ave 822 Toronto,1+1,2,Condo Apt Apartment,2600,600-699,C10429742,600,699,649.5,Condo Apartment,Apartment,43.7680885,-79.3880855
15 Grenville St 511 Toronto,1+1,1,Condo Apt Apartment,2600,500-599,C9364676,500,599,549.5,Condo Apartment,Apartment,43.66186140000001,-79.3841461
