Listing price,Verified,Updated,Bed,Bathroom,sqft,Address,listing-card__details-link href,City/Zone,LAT,LONG
2000.0,Verified,,1,1,500,"629 King Street West, Toronto, ON",https://rentals.ca/toronto/629-king-street-west-id906805,Toronto,43.644001,-79.4015398
2000.0,,Recently Updated!,1.5,2,877,"39 Jarvis Street, Toronto, ON",https://rentals.ca/toronto/39-jarvis-street-id907807,Toronto,43.6501641,-79.3715337
2000.0,,,0,0,380,"251 Jarvis Street, Toronto, ON",https://rentals.ca/toronto/251-jarvis-street-id906695,Toronto,43.65737670000001,-79.3744501
2000.0,,,1.5,2,675,"68 Abell Street, Toronto, ON",https://rentals.ca/toronto/68-abell-street-id892525,Toronto,43.6423205,-79.42436239999999
2050.0,,,0,1,378,"197 Yonge Street, Toronto, ON",https://rentals.ca/toronto/197-yonge-street-id905762,Toronto,43.65343590000001,-79.3791875
2050.0,,Recently Updated!,1,1,550,"275 Village Green Square, Scarborough, ON",https://rentals.ca/scarborough/275-village-green-square-3,Scarborough,43.77935799999999,-79.2830046
2095.0,Verified,,1.5,1,600,"90 Glen Everest Rd, Scarborough, ON",https://rentals.ca/scarborough/206-90-glen-everest-rd-scarborough-ontario-m1n-0c3,Scarborough,43.7031342,-79.25277299999999
2050.0,,,1,1,499,"5 Defries Street, Toronto, ON",https://rentals.ca/toronto/5-defries-street-8,Toronto,43.6605705,-79.3563724
2050.0,,,0,1,400,"82 Dalhousie Street, Toronto, ON",https://rentals.ca/toronto/82-dalhousie-street-id828546,Toronto,43.655802,-79.3764407
2099.0,,,0,1,380,"1 King Street West, Toronto, ON",https://rentals.ca/toronto/1-king-street-west-id803675,Toronto,43.6489445,-79.37814019999999
2100.0,Verified,,1,1,600,"125 Blue Jays Way, Toronto, ON",https://rentals.ca/toronto/125-blue-jays-way-1,Toronto,43.6460845,-79.3910992
2100.0,Verified,,1,1,538,"238 Simcoe Street, Toronto, ON",https://rentals.ca/toronto/238-simcoe-street-3,Toronto,43.6534014,-79.38904769999999
2100.0,,,1,1,441,"195 McCaul Street, Toronto, ON",https://rentals.ca/toronto/195-mccaul-street-id906705,Toronto,43.6567194,-79.39214460000001
2100.0,Verified,Recently Updated!,1,1,700,"1346 Danforth Road, Toronto, ON",https://rentals.ca/toronto/1346-danforth-road-4,Toronto,43.7441474,-79.2469547
2100.0,Verified,,1,1,500,"105 The Queensway, Toronto, ON",https://rentals.ca/toronto/105-the-queensway-id907113,Toronto,43.6358626,-79.471413
2100.0,,8 hours ago,1,1,500,"160 Vanderhoof Avenue, Toronto, ON",https://rentals.ca/toronto/160-vanderhoof-avenue-2,Toronto,43.7145528,-79.3532164
2100.0,,Recently Updated!,0,1,400,"224 King Street West, Toronto, ON",https://rentals.ca/toronto/224-king-street-west-id910446,Toronto,43.6474142,-79.3872935
2100.0,,Recently Updated!,1,1,562,"127 Broadway Avenue, Toronto, ON",https://rentals.ca/toronto/127-broadway-avenue-id905159,Toronto,43.7103794,-79.3921761
2100.0,,,0,1,438,"7 Mabelle Avenue, Toronto, ON",https://rentals.ca/toronto/7-mabelle-avenue,Toronto,43.6464782,-79.5254652
2100.0,,,1.5,1,700,"921 Midland Avenue, Toronto, ON",https://rentals.ca/toronto/921-midland-avenue-1,Toronto,43.73596149999999,-79.2579728
2100.0,,,1.5,1,500,"701 King Street West, Toronto, ON",https://rentals.ca/toronto/701-king-street-west,Toronto,43.6430497,-79.4037726
2100.0,Verified,,1,1,699,"22 East Haven Drive, Toronto, ON",https://rentals.ca/toronto/22-east-haven-drive,Toronto,43.7046836,-79.2517519
2100.0,Verified,1 day ago,1,1.5,600,"721 Lawrence Avenue West, Toronto, ON",https://rentals.ca/toronto/721-lawrence-avenue-west,Toronto,43.7148522,-79.4491496
2100.0,,Recently Updated!,0.5,1,520,"19 Singer Court, North York, ON",https://rentals.ca/north-york/19-singer-court-4,North York,43.7696608,-79.3698521
2100.0,Verified,,1,1,500,"219 Dundas Street East, Toronto, ON",https://rentals.ca/toronto/219-dundas-street-east-4,Toronto,43.657581,-79.37289
2150.0,Verified,,1,1,500,"49 East Liberty Street, Toronto, ON",https://rentals.ca/toronto/49-east-liberty-street-id907137,Toronto,43.63883,-79.41163499999999
2150.0,Verified,,2,1,980,"90 Canon Jackson Drive, Toronto, ON",https://rentals.ca/toronto/90-canon-jackson-drive-3,Toronto,43.6981954,-79.47256469999999
2150.0,Verified,,1,1,600,"7 Mabelle Avenue, Toronto, ON",https://rentals.ca/toronto/7-mabelle-avenue-5,Toronto,43.6464782,-79.5254652
2150.0,,,1,1,530,"319 Carlaw Avenue, Toronto, ON",https://rentals.ca/toronto/319-carlaw-avenue-id902159,Toronto,43.66437,-79.3411364
2150.0,Verified,,1,1,540,"560 Front Street West, Toronto, ON",https://rentals.ca/toronto/560-front-street-west-id905998,Toronto,43.64125,-79.3999726
2150.0,,Recently Updated!,1.5,1,520,"425 Front Street East, Toronto, ON",https://rentals.ca/toronto/425-front-street-east-id909698,Toronto,43.6526799,-79.35710999999999
2150.0,Verified,,1.5,1,600,"117 Broadway Avenue, Toronto, ON",https://rentals.ca/toronto/117-broadway-avenue-6,Toronto,43.71035699999999,-79.3925946
2150.0,Verified,,1,1,500,"195 MCCAUL Street, Toronto, ON",https://rentals.ca/toronto/195-mccaul-street-unit-603,Toronto,43.6567194,-79.39214460000001
2150.0,,Recently Updated!,0,1,400,"955 Bay Street, Toronto, ON",https://rentals.ca/toronto/955-bay-street-id822159,Toronto,43.6646319,-79.3869529
2150.0,,Recently Updated!,0,1,400,"197 Yonge Street, Toronto, ON",https://rentals.ca/toronto/197-yonge-street-id694648,Toronto,43.65343590000001,-79.3791875
2150.0,,,1,1,510,"38 Grenville Street, Toronto, ON",https://rentals.ca/toronto/38-grenville-street,Toronto,43.66188450000001,-79.3857031
2175.0,,7 hours ago,1,1,600,"10 Wilby Crescent, Toronto, ON",https://rentals.ca/toronto/10-wilby-crescent-id740401,Toronto,43.6977738,-79.51229479999999
2180.0,Verified,,1,1,405,"155 Yorkville Ave, Toronto, ON",https://rentals.ca/toronto/155-yorkville-ave,Toronto,43.6703838,-79.3944199
2190.0,Verified,,1.5,1.5,650,"1350 Ellesmere Road, Scarborough, ON",https://rentals.ca/scarborough/318-1350-ellesmere-rd-scarborough-ontario-m1p-5a5,Scarborough,43.7705224,-79.2617648
2190.0,,,1,1,500,"55 Ontario Street, Toronto, ON",https://rentals.ca/toronto/55-ontario-street-6,Toronto,43.653598,-79.3662319
2195.0,,Recently Updated!,0,1,500,"210 Victoria Street, Toronto, ON",https://rentals.ca/toronto/210-victoria-street-id723191,Toronto,43.654703,-79.3790665
2200.0,,Recently Updated!,1,1,500,"270 Dufferin Street, Toronto, ON",https://rentals.ca/toronto/270-dufferin-street-id910003,Toronto,43.6384128,-79.4276448
2200.0,,,0.5,0.5,565,"75 Saint Nicholas Street, Toronto, ON",https://rentals.ca/toronto/75-saint-nicholas-street-id908783,Toronto,43.6677586,-79.38644599999999
2200.0,Verified,,1,1,600,"30 Shore Breeze Drive, Toronto, ON",https://rentals.ca/toronto/30-shore-breeze-drive-4,Toronto,43.62377619999999,-79.47963299999999
2200.0,,Recently Updated!,1,1,600,"350 Wellington Street West, Toronto, ON",https://rentals.ca/toronto/350-wellington-street-west-7,Toronto,43.64462899999999,-79.39281570000001
2200.0,,,1.5,1,600,"3100 Keele Street, Toronto, ON",https://rentals.ca/toronto/3100-keele-street-id908144,Toronto,43.7399487,-79.48554589999999
2200.0,Verified,Recently Updated!,1,1,599,"311 Richmond Street East, Toronto, ON",https://rentals.ca/toronto/311-richmond-street-east-7,Toronto,43.6532349,-79.36935500000001
2199.0,,,0,1,400,"395 Bloor Street East, Toronto, ON",https://rentals.ca/toronto/395-bloor-street-east-id787207,Toronto,43.6719746,-79.3774195
2200.0,,,2,1,673,"75 Queens Wharf Road, Toronto, ON",https://rentals.ca/toronto/75-queens-wharf-road-id347488,Toronto,43.6386359,-79.39805319999999
2200.0,,,1,1,700,"3560 Saint Clair Avenue East, Toronto, ON",https://rentals.ca/toronto/3560-saint-clair-avenue-east,Toronto,43.7170837,-79.2611798
2200.0,Verified,,1,1,600,"135 Lower Sherbourne Street, Toronto, ON",https://rentals.ca/toronto/135-lower-sherbourne-street-4,Toronto,43.6501264,-79.36723549999999
2200.0,Verified,,1.5,1,700,"66 Forest Manor Road, Toronto, ON",https://rentals.ca/toronto/66-forest-manor-road-1,Toronto,43.7743973,-79.345901
2200.0,Verified,,1.5,1.5,1000,"61 Markbrook Lane, Toronto, ON",https://rentals.ca/toronto/61-markbrook-lane-id905766,Toronto,43.7591633,-79.5851758
2200.0,Verified,,1.5,1,700,"2221 Yonge Street, Toronto, ON",https://rentals.ca/toronto/2221-yonge-street-id902863,Toronto,43.7060642,-79.3977203
2200.0,Verified,,1.5,1,485,"500 Wilson Avenue, Toronto, ON",https://rentals.ca/toronto/500-wilson-avenue-3,Toronto,43.7353752,-79.4454727
2200.0,Verified,,1,1,600,"327 King Street West, Toronto, ON",https://rentals.ca/toronto/327-king-street-west-1,Toronto,43.6461914,-79.39106269999999
2200.0,,,0,1,450,"763 Bay Street, Toronto, ON",https://rentals.ca/toronto/763-bay-street-id901556,Toronto,43.6599948,-79.38519939999999
2200.0,,,1,1,500,"330 Richmond Street West, Toronto, ON",https://rentals.ca/toronto/330-richmond-street-west-id787096,Toronto,43.6489309,-79.3927925
2200.0,,,0,1,450,"5 Defries Street, Toronto, ON",https://rentals.ca/toronto/5-defries-street-id778233,Toronto,43.6605705,-79.3563724
2200.0,,,1,1,500,"185 Legion Road North, Toronto, ON",https://rentals.ca/toronto/185-legion-road-north,Toronto,43.6246597,-79.4881868
2200.0,,,1,1,650,"2961 Dufferin Street, Toronto, ON",https://rentals.ca/toronto/2961-dufferin-street,Toronto,43.7104147,-79.4534266
2200.0,Verified,Recently Updated!,1,1,545,"201 Carlaw Avenue, Toronto, ON",https://rentals.ca/toronto/201-carlaw-avenue-5,Toronto,43.6624902,-79.3401308
2200.0,Verified,,1,1,420,"25 Oxley Street, Toronto, ON",https://rentals.ca/toronto/25-oxley-street-1,Toronto,43.6462529,-79.3944679
2200.0,,,0,1,400,"395 Bloor Street East, Toronto, ON",https://rentals.ca/toronto/395-bloor-street-east-id692424,Toronto,43.6719746,-79.3774195
2200.0,,,0.5,0.5,512,"1808 Saint Clair Avenue West, Toronto, ON",https://rentals.ca/toronto/1808-saint-clair-avenue-west-6,Toronto,43.6738836,-79.4624341
2200.0,,,1,1,628,"25 Carlton Street, Toronto, ON",https://rentals.ca/toronto/25-carlton-street-7,Toronto,43.6612664,-79.38159279999999
2250.0,Verified,Recently Updated!,1,1,550,"9 Spadina Avenue, Toronto, ON",https://rentals.ca/toronto/9-spadina-avenue-2,Toronto,43.6402839,-79.3923657
2250.0,,,1,1,650,"1410 Dupont Street, Toronto, ON",https://rentals.ca/toronto/1410-dupont-street-id908178,Toronto,43.66710279999999,-79.4474491
2250.0,,,1.5,1,558,"230 Simcoe Street, Toronto, ON",https://rentals.ca/toronto/230-simcoe-street-id908693,Toronto,43.65328239999999,-79.3889093
2200.0,Verified,Recently Updated!,1,1,500,"47 Lower River Street, Toronto, ON",https://rentals.ca/toronto/47-lower-river-street-4,Toronto,43.6565452,-79.35549089999999
2250.0,Verified,Recently Updated!,1.5,1,650,"1 Yorkville Avenue, Toronto, ON",https://rentals.ca/toronto/1-yorkville-avenue-id910434,Toronto,43.6716254,-79.3877935
2250.0,Verified,,1,1,500,"26 Gibbs Road, Toronto, ON",https://rentals.ca/toronto/26-gibbs-road-3,Toronto,43.63950560000001,-79.5584738
2250.0,Verified,,1,1,550,"15 Lower Jarvis Street, Toronto, ON",https://rentals.ca/toronto/15-lower-jarvis-street-id906734,Toronto,43.6452369,-79.36924429999999
2250.0,Verified,,1.5,2,750,"4955 Yonge Street, Toronto, ON",https://rentals.ca/toronto/4955-yonge-street,Toronto,43.7650353,-79.4115219
2250.0,,,1,1,550,"20 Tubman Avenue, Toronto, ON",https://rentals.ca/toronto/20-tubman-avenue-id809325,Toronto,43.6606855,-79.3594066
2270.0,,,1,1,560,"75 Queens Wharf Road, Toronto, ON",https://rentals.ca/toronto/75-queens-wharf-road-6,Toronto,43.6386359,-79.39805319999999
2275.0,,,1.5,1,749,"2885 Bayview Avenue, North York, ON",https://rentals.ca/north-york/2885-bayview-avenue-7,North York,43.7680885,-79.3880855
2275.0,Verified,,1,1,536,"783 Bathurst Street, Toronto, ON",https://rentals.ca/toronto/783-bathurst-street-3,Toronto,43.6645681,-79.4107994
2275.0,Verified,,1,1,625,"500 Queens Quay West, Toronto, ON",https://rentals.ca/toronto/500-queens-quay-west-3,Toronto,43.6376392,-79.3951333
2279.0,Verified,Recently Updated!,1.5,1.5,650,"1350 Ellesmere Road, Scarborough, ON",https://rentals.ca/scarborough/302-1350-ellesmere-rd-scarborough-ontario-m1p-5a5,Scarborough,43.7705224,-79.2617648
2280.0,,,1,1,561,"275 Yorkland Road, Toronto, ON",https://rentals.ca/toronto/275-yorkland-road-4,Toronto,43.7746398,-79.33694849999999
2280.0,,,1,1,510,"2301 Danforth Avenue, Toronto, ON",https://rentals.ca/toronto/2301-danforth-avenue,Toronto,43.6867605,-79.3072352
2295.0,Verified,1 day ago,1.5,1,650,"1346 Danforth Road, Toronto, ON",https://rentals.ca/toronto/1346-danforth-road-5,Toronto,43.7441474,-79.2469547
2275.0,,,1,1,600,"159 Dundas Street East, Toronto, ON",https://rentals.ca/toronto/159-dundas-street-east-id800590,Toronto,43.6567653,-79.3749976
2295.0,,,1,1,450,"215 Fort York Boulevard, Toronto, ON",https://rentals.ca/toronto/215-fort-york-boulevard-id891668,Toronto,43.6366434,-79.4046054
