"listing-card__contact-button href","Listing price","Verified","Updated","Bed","Bathroom","sqft","Address","listing-card__details-link href"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=4&sort=cheapest#","$1950","Verified","","1","1","500","127 Broadway Avenue, Toronto, ON","https://rentals.ca/toronto/127-broadway-avenue-id907123"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=4&sort=cheapest#","$1950","Verified","Recently Updated!","1","1","500","127 Broadway Avenue, Toronto, ON","https://rentals.ca/toronto/127-broadway-line-5"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=4&sort=cheapest#","$1950","Verified","","1","1","450","5 Defries Street, Toronto, ON","https://rentals.ca/toronto/5-defries-street-id906729"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=4&sort=cheapest#","$1950","","","1.5","2","624","7895 Jane Street, Vaughan, ON","https://rentals.ca/vaughan/7895-jane-street-id905912"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=4&sort=cheapest#","$1950","","7 hours ago","1.5","1","683","43 Eglinton Avenue East, Toronto, ON","https://rentals.ca/toronto/43-eglinton-avenue-east-id904100"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=4&sort=cheapest#","$1900","","","1.5","1","798","1174 Yonge Street, Toronto, ON","https://rentals.ca/toronto/1174-yonge-street-id892392"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=4&sort=cheapest#","$1950","","","0","1","499","8 Mercer Street, Toronto, ON","https://rentals.ca/toronto/8-mercer-street-id908038"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=5&sort=cheapest#","$1950","","7 hours ago","1","1","640","38 Avoca Avenue, Toronto, ON","https://rentals.ca/toronto/38-avoca-avenue"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=5&sort=cheapest#","$1950","Verified","","0","0 - 1","800","231 Fort York Boulevard, Toronto, ON","https://rentals.ca/toronto/231-fort-york-boulevard-id903020"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=5&sort=cheapest#","$1950","","","1.5","2","678","11 Bogert Avenue, Toronto, ON","https://rentals.ca/toronto/11-bogert-avenue-id897685"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=5&sort=cheapest#","$1950","","Recently Updated!","1","1","528","800 Lawrence Avenue West, Toronto, ON","https://rentals.ca/toronto/800-lawrence-avenue-west-id894862"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=5&sort=cheapest#","$1962","","Recently Updated!","0","1","400","100 Harbour Street, Toronto, ON","https://rentals.ca/toronto/100-harbour-street-id909772"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=5&sort=cheapest#","$1989","","Recently Updated!","0","0","411","8 The Esplanade, Toronto, ON","https://rentals.ca/toronto/8-the-esplanade-id910435"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=5&sort=cheapest#","$1995","Verified","","1","1","450","117 Broadway Avenue, Toronto, ON","https://rentals.ca/toronto/117-broadway-avenue-7"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=5&sort=cheapest#","$1995","Verified","13 hours ago","1","1","499","36 Lisgar Street, Toronto, ON","https://rentals.ca/toronto/36-lisgar-street-id902193"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=5&sort=cheapest#","$1995","Verified","","1","1","550","1 Thyra Avenue, East York, ON","https://rentals.ca/east-york/2-1-thyra-ave-east-york-ontario-m4c-5g4"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=5&sort=cheapest#","$1995","Verified","","1","1","520","1195 The Queensway, Toronto, ON","https://rentals.ca/toronto/411-1195-the-queensway-toronto-ontario-m8z-0h1"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=6&sort=cheapest#","$1999","Verified","","1","1","590","225 Malta Avenue, Brampton, ON","https://rentals.ca/brampton/710-225-malta-ave-brampton-ontario-l6y-4m5"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=6&sort=cheapest#","$2000","Verified","Recently Updated!","1","1","500","425 Front Street East, Toronto, ON","https://rentals.ca/toronto/425-front-street-east-5"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&p=6&sort=cheapest#","$2000","Verified","","1","1","1085","197 Yonge Street, Toronto, ON","https://rentals.ca/toronto/197-yonge-street-id907608"
