Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/140-Carlton-St-Toronto-ON-M5A-3W7/2079698966_zpid/","Apartment","2250","750","sqft","3","1","1","140 Carlton St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/900-mount-pleasant-rd-toronto-on-BMKbyk/","Building","","","","","","","900 Mount Pleasant Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/apartments/toronto-on/20-edward-st/BMLF6h/","Building","","","","","","","20 Edward St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/131-Torresdale-Ave-1407-Toronto-ON-M2R-3T1/442100330_zpid/","Apartment","4000","1650","sqft","2.42","3","2","131 Torresdale Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.663628,-79.38645_ll/","Building","","","","","","","909 Bay St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/543-richmond-st-w-toronto-on-BMLFD2/","Building","","","","","","","543 Richmond St W","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/1-shaw-st-toronto-on-BMHPxQ/","Building","","","","","","","1 Shaw St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/Toronto-ON-M5T-2X6/442130002_zpid/","Apartment","2295","700","sqft","3.28","1","1","","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/760-the-queensway-toronto-on-BMJFzm/","Building","","","","","","","760 The Queensway","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/Toronto-ON-M4Y-1K2/442081546_zpid/","Apartment","2150","","","","1","1","","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/62-Coe-Hill-Dr-BASEMENT-Toronto-ON-M6S-3C8/2053894313_zpid/","Apartment","2800","1000","sqft","2.8","4","1","62 Coe Hill Dr","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/10-park-lawn-rd-toronto-on-BMCQdD/","Building","","","","","","","10 Park Lawn Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/320-richmond-st-e-toronto-on-BMCMNX/","Building","","","","","","","320 Richmond St   E","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/75-saint-nicholas-st-toronto-on-BMCMSZ/","Building","","","","","","","75 Saint Nicholas St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.708378,-79.3921_ll/","Building","","","","","","","212 Eglinton Ave E","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/38-monte-kwinter-ct-toronto-on-BsmKZF/","Building","","","","","","","38 Monte Kwinter Ct","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/560-front-st-w-toronto-on-BMKYY6/","Building","","","","","","","560 Front St W","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/3233-Eglinton-Ave-E-LPH13-Toronto-ON-M1J-3N6/2058102119_zpid/","Apartment","3200","1000","sqft","3.2","2","2","3233 Eglinton Ave E","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/20-meadowglen-pl-e-toronto-on-ChGK9G/","Building","","","","","","","20 Meadowglen Pl E","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.665646,-79.38595_ll/","Building","","","","","","","11 Saint Joseph St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/73-Brimley-Rd-BASEMENT-2-Toronto-ON-M1M-3H7/2054377788_zpid/","Apartment","2295","600","sqft","3.83","3","1","73 Brimley Rd BASEMENT 2","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/671-Crawford-St-1-Toronto-ON-M6G-3K1/442026123_zpid/","Apartment","2450","635","sqft","3.86","1","1","671 Crawford St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.706524,-79.39202_ll/","Building","","","","","","","83 Redpath Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/111-bathurst-st-toronto-on-BMCMHf/","Building","","","","","","","111 Bathurst St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/36-lisgar-st-toronto-on-BMJ93X/","Building","","","","","","","36 Lisgar St #","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/557-the-east-mall-toronto-on-BXBzVL/","Building","","","","","","","557 The East Mall","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/4064-Lawrence-Ave-E-UNIT-304-Toronto-ON-M1E-4V6/2083399091_zpid/","Apartment","2400","","","","2","1","4064 Lawrence Ave E","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1457-Kingston-Rd-302-Toronto-ON-M1N-1R5/441871733_zpid/","Apartment","2400","","","","2","1","1457 Kingston Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/e18hteen-toronto-on-BMLF56/","Building","","","","","","","18 Erskine Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.639736,-79.39209_ll/","Building","","","","","","","35 Mariner Ter","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/3311-Kingston-Rd-1005-Toronto-ON-M1M-1R1/441767023_zpid/","Apartment","2600","850","sqft","3.06","2","1","3311 Kingston Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/90-glen-everest-rd-toronto-on-CJcrt8/","Building","","","","","","","90 Glen Everest Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/wonder-lofts-toronto-on-CYf59L/","Building","","","","","","","150 Logan Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/harrison-toronto-on-BMK3Bg/","Building","","","","","","","105 Harrison Garden Blvd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/Toronto-ON-M6J-3E9/2071936528_zpid/","Apartment","2450","845","sqft","2.9","1","1","","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/188-redpath-ave-toronto-on-BMKHVK/","Building","","","","","","","188 Redpath Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/319-jarvis-st-toronto-on-BMJ7z7/","Building","","","","","","","319 Jarvis St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/55-charles-st-e-toronto-on-BMLFRv/","Building","","","","","","","55 Charles St E","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/40-Nanton-Ave-2-Toronto-ON-M4W-2Y9/441580301_zpid/","Apartment","3500","1000","sqft","3.5","1","1","40 Nanton Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.639263,-79.55962_ll/","Building","","","","","","","30 Gibbs Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/Toronto-ON-M5V-0E9/2067036062_zpid/","Apartment","3300","700","sqft","4.71","2","1","","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.702034,-79.41952_ll/","Building","","","","","","","45 Gardiner Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/49-Cordella-Ave-1-Toronto-ON-M6N-2J7/441566240_zpid/","Apartment","3500","850","sqft","4.12","3","1","49 Cordella Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/600-fleet-st-toronto-on-BMCM9v/","Building","","","","","","","600 Fleet St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1B-Crescent-Rd-120-Toronto-ON-M4W-1T5/441181530_zpid/","Apartment","4295","1800","sqft","2.39","2","2","1B Crescent Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/469-Shaw-St-C-Toronto-ON-M6G-3L4/441874974_zpid/","Apartment","2275","525","sqft","4.33","0","1","469 Shaw St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/30-canterbury-pl-toronto-on-BMLgcg/","Building","","","","","","","30 Canterbury Pl   Unit 905","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/402-The-East-Mall-314-Toronto-ON-M9B-6B7/2056118050_zpid/","Apartment","3150","1200","sqft","2.63","2","3","402 The East Mall","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/10-Edgecliff-Golfway-711-Toronto-ON-M3C-3A3/440618380_zpid/","Apartment","2800","1000","sqft","2.8","2","1","10 Edgecliff Golfway","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/373-Markham-St-5-Toronto-ON-M6G-2K8/441702453_zpid/","Apartment","1699","450","sqft","3.78","1","1","373 Markham St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/897-College-St-Toronto-ON-M6H-1A1/339981315_zpid/","Apartment","3250","850","sqft","3.82","2","1","897 College St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/garden-series-scarborough-on-Cg7PWj/","Building","","","","","","","3423 Sheppard Ave E","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/50-Gerrard-St-E-233-Toronto-ON-M5B-1J6/440753828_zpid/","Apartment","1990","345","sqft","5.77","0","1","50 Gerrard St E","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/51-Richardson-Ave-2-Toronto-ON-M6M-3R8/441552832_zpid/","Apartment","1750","650","sqft","2.69","1","1","51 Richardson Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.64943,-79.38841_ll/","Building","","","","","","","199 Richmond St   W","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/Toronto-ON-M6R-1S3/353704734_zpid/","Apartment","1900","440","sqft","4.32","1","1","","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/2191-yonge-st-toronto-on-BMJmbd/","Building","","","","","","","2191 Yonge St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.662086,-79.38568_ll/","Building","","","","","","","38 Grenville St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1376-Danforth-Ave-A-Toronto-ON-M4J-1M9/440896260_zpid/","Apartment","2499","950","sqft","2.63","2","1","1376 Danforth Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/66-Hollyhedge-Dr-2-Toronto-ON-M1J-1X4/441555177_zpid/","Apartment","1895","1100","sqft","1.72","2","1","66 Hollyhedge Dr","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/Toronto-ON-M9M-2S1/345668886_zpid/","Apartment","2300","800","sqft","2.88","2","1","","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/15-maitland-pl-toronto-on-BMKYWG/","Building","","","","","","","15 Maitland Pl","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/326-High-Park-Ave-2-Toronto-ON-M6P-2S7/439437265_zpid/","Apartment","3995","1250","sqft","3.2","3","2","326 High Park Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/6-Burnelm-Dr-2-Toronto-ON-M9B-4N3/441180075_zpid/","Apartment","1995","1100","sqft","1.81","2","1","6 Burnelm Dr","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/157-Geoffrey-St-Toronto-ON-M6R-1P4/346881292_zpid/","Apartment","2700","826","sqft","3.27","2","1","157 Geoffrey St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/798-ossington-ave-toronto-on-BvjXQr/","Building","","","","","","","798 Ossington Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/525-Richmond-St-W-Toronto-ON-M5V-1Y5/2055456657_zpid/","Apartment","2997","","","","2","2","525 Richmond St W","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/99-Mackay-Ave-Toronto-ON-M6H-2N7/440379103_zpid/","Apartment","1850","","","","1","1","99 Mackay Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/88-Redpath-Ave-Toronto-ON-M4S-2J8/2055456619_zpid/","Apartment","2234","","","","1","1","88 Redpath Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/15-Colleen-Ct-BASEMENT-Toronto-ON-M3M-2E6/2055507623_zpid/","Apartment","2300","850","sqft","2.71","2","1","15 Colleen Ct","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/132-Silverhill-Dr-BASEMENT-Toronto-ON-M9B-3W7/440623226_zpid/","Apartment","1900","800","sqft","2.38","1","1","132 Silverhill Dr","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/238-simcoe-st-toronto-on-CfFSPX/","Building","","","","","","","238 Simcoe St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1864-Danforth-Ave-301-Toronto-ON-M4C-1J4/407207193_zpid/","Apartment","2500","900","sqft","2.78","1","1","1864 Danforth Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1212-Queen-St-E-A-Toronto-ON-M4M-1L7/350151087_zpid/","Apartment","2250","900","sqft","2.5","2","1","1212 Queen St E","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/25-Duffield-Rd-Toronto-ON-M9P-3C8/344990780_zpid/","Apartment","1750","350","sqft","5","0","1","25 Duffield Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/211-Brunswick-Ave-A-Toronto-ON-M5S-2M4/440663749_zpid/","Apartment","2300","1000","sqft","2.3","2","1","211 Brunswick Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1164-Queen-St-W-UNIT-3-Toronto-ON-M6J-1J5/2060949385_zpid/","Apartment","3400","1100","sqft","3.09","2","1","1164 Queen St W","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/2-Duffield-Rd-BASEMENT-Toronto-ON-M9P-3C8/351055473_zpid/","Apartment","2650","650","sqft","4.08","2","1","2 Duffield Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/23-Duffield-Rd-Toronto-ON-M9P-3C8/2077224001_zpid/","Apartment","2650","500","sqft","5.3","2","1","23 Duffield Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/3321-Dundas-St-W-4-Toronto-ON-M6P-2A6/439183000_zpid/","Apartment","1950","800","sqft","2.44","1","1","3321 Dundas St W","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/5508-yonge-st-toronto-on-BMJx4Z/","Building","","","","","","","5508 Yonge St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/65-Lillian-St-Toronto-ON-M4S-0A1/2055456564_zpid/","Apartment","2239","","","","1","1","65 Lillian St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/19-Tyndall-Ave-3-Toronto-ON-M6K-2E8/2071881223_zpid/","Apartment","3475","1750","sqft","1.99","4","1","19 Tyndall Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/109-earlscourt-ave-toronto-on-BSwNPG/","Building","","","","","","","109 Earlscourt Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/2A-Tiverton-Ave-1-Toronto-ON-M4M-2L9/352006285_zpid/","Apartment","3999","1900","sqft","2.1","3","2","2A Tiverton Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/150-Palmerston-Ave-A-Toronto-ON-M6J-2J1/401870136_zpid/","Apartment","3800","1500","sqft","2.53","4","2","150 Palmerston Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/103-Baldwin-St-Toronto-ON-M5T-1L5/2057480386_zpid/","Apartment","3600","700","sqft","5.14","3","1","103 Baldwin St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/75-Kenwood-Ave-1-Toronto-ON-M6C-2S1/402484456_zpid/","Apartment","3200","1000","sqft","3.2","3","1","75 Kenwood Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/118-Hallam-St-Toronto-ON-M6H-1X1/2081271344_zpid/","Apartment","2250","400","sqft","5.63","0","1","118 Hallam St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1214-Queen-St-E-Toronto-ON-M4M-1L7/350151198_zpid/","Apartment","2500","900","sqft","2.78","2","1","1214 Queen St E","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/28-Macpherson-Ave-3-Toronto-ON-M5R-1W8/345679167_zpid/","Apartment","2330","680","sqft","3.43","1","1","28 Macpherson Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/Toronto-ON-M6E-2Z7/2053178395_zpid/","Apartment","2650","1000","sqft","2.65","2","1","","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.637653,-79.40245_ll/","Building","","","","","","","50 Bruyeres Mews S","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/16-brookers-ln-toronto-on-BMCM6j/","Building","","","","","","","16 Brookers Ln","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.703632,-79.42674_ll/","Building","","","","","","","8 Ridge Hill Dr","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/2-Fieldway-Rd-706-Toronto-ON-M8Z-0B9/442406624_zpid/","Condominium","3500","","","","2","2","2 Fieldway Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/783-bathurst-st-toronto-on-BMLDxh/","Building","","","","","","","783 Bathurst St","Toronto","NaN","ON","USA"
"https://www.zillow.com/apartments/toronto-on/318-richmond-st-w/BMCMPW/","Building","","","","","","","318 Richmond St W","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/building/43.66485,-79.38611_ll/","Building","","","","","","","24 Wellesley St W","Toronto","NaN","ON","USA"
