Listing ID,Source,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Neighbourhood,Neighbourhood Rank,Rent Price (CAD)
442327950,Zillow,24 Acre Heights Cres,3.0,2.0,1000.0,43.76663,-79.24891,Woburn North,104.0,2495.0
442100330,Zillow,131 Torresdale Ave,3.0,2.0,1650.0,43.778008,-79.45272,Westminster-Branson,110.0,4000.0
2054377788,Zillow,73 Brimley Rd BASEMENT 2,3.0,1.0,600.0,43.72387,-79.24231,Cliffcrest,131.0,2295.0
441566240,Zillow,49 Cordella Ave,3.0,1.0,850.0,43.681416,-79.48252,Rockcliffe-Smythe,116.0,3500.0
439437265,Zillow,326 High Park Ave,3.0,2.0,1250.0,43.664787,-79.47044,Junction Area,41.0,3995.0
352006285,Zillow,2A Tiverton Ave,3.0,2.0,1900.0,43.66404,-79.345215,South Riverdale,58.0,3999.0
2057480386,Zillow,103 Baldwin St,3.0,1.0,700.0,43.655193,-79.396614,Kensington-Chinatown,48.0,3600.0
402484456,Zillow,75 Kenwood Ave,3.0,1.0,1000.0,43.684887,-79.4227,Humewood-Cedarvale,59.0,3200.0
2077844900,Zillow,1701 McCowan Rd,3.0,2.0,1180.0,43.788326,-79.25602,Agincourt South-Malvern West,94.0,2850.0
417855659,Zillow,70 Stevenvale Dr,3.0,1.0,850.0,43.75894,-79.22137,Golfdale-Cedarbrae-Woburn,147.0,2899.0
441819639,Zillow,45 Greencrest Cir,3.0,1.0,850.0,43.758743,-79.22232,Golfdale-Cedarbrae-Woburn,147.0,2899.0
2065657192,Zillow,100 Antibes Dr,3.0,2.0,1300.0,43.780487,-79.44702,Westminster-Branson,110.0,3500.0
384437673,Zillow,600 Brookdale Ave,3.0,2.0,1316.0,43.72464,-79.42988,Bedford Park-Nortown,46.0,5200.0
441175304,Zillow,207 Davisville Ave,3.0,2.0,2038.0,43.69959,-79.38941,South Eglinton-Davisville,20.0,4300.0
440686898,Zillow,318 Rouge Hills Dr,3.0,3.0,2000.0,43.793667,-79.12849,West Rouge,98.0,3600.0
439504080,Zillow,65 Hobden Pl,3.0,2.0,1800.0,43.68654,-79.56631,Willowridge-Martingrove-Richview,135.0,3995.0
350491607,Zillow,630 Vesta Dr,3.0,2.0,1216.0,43.703003,-79.42542,Forest Hill North,75.0,3409.0
422185857,Zillow,1475 Birchmount Rd,3.0,1.0,1179.0,43.75671,-79.28804,Dorset Park,126.0,3099.0
439249312,Zillow,217 Sloane Ave,3.0,1.0,1200.0,43.737812,-79.31069,Victoria Village,129.0,3150.0
2053210912,Zillow,1673 Bathurst St,3.0,2.0,1215.0,43.694977,-79.422714,Forest Hill South,39.0,4295.0
439895217,Zillow,1330 Danforth Rd,3.0,1.0,1081.0,43.742924,-79.24596,Eglinton East,138.0,2612.0
402090891,Zillow,86 Silver Springs Blvd,3.0,2.0,1097.0,43.80006,-79.305824,East L'Amoreaux,85.0,3150.0
2055453568,Zillow,4000 Lawrence Ave E,3.0,1.0,1056.0,43.766113,-79.20001,West Hill,156.0,3090.0
349463532,Zillow,139A Lappin Ave,3.0,3.0,1600.0,43.66512,-79.44379,Junction-Wallace Emerson,50.0,3999.0
441734696,Zillow,11 Antrim Cres,3.0,1.0,1100.0,43.770782,-79.28437,Dorset Park,126.0,2970.0
2079695844,Zillow,68 Cassandra Blvd,3.0,1.0,1715.0,43.748547,-79.33178,Parkwoods-O'Connor Hills,115.0,3170.0
440157828,Zillow,2029 Victoria Park Ave,3.0,1.0,1273.0,43.754433,-79.3135,Wexford/Maryvale,128.0,3949.0
440607385,Zillow,1050 Markham Rd,3.0,1.0,1300.0,43.774372,-79.23157,Woburn North,104.0,2945.0
441682894,Zillow,125 Canon Jackson Dr,3.0,2.0,973.0,43.697407,-79.472916,Beechborough-Greenbrook,153.0,3270.0
353534722,Zillow,1465 Lawrence Ave W,3.0,1.0,1157.0,43.70739,-79.4804,Brookhaven-Amesbury,148.0,3385.0
442237418,Zillow,8 Gloucester St,3.0,2.0,888.0,43.666904,-79.38477,Church-Wellesley,28.0,5107.0
440541992,Zillow,203 Jarvis St,3.0,2.0,943.0,43.65566,-79.37363,Moss Park,69.0,3405.0
439490987,Zillow,701 Don Mills Rd,3.0,1.0,1300.0,43.70832,-79.33285,O'Connor-Parkview,120.0,3200.0
2063443293,Zillow,270 Davenport Rd,3.0,3.0,2249.0,43.67457,-79.398766,Annex,12.0,6200.0
439491692,Zillow,231 Vaughan Rd,3.0,1.0,556.0,43.68806,-79.42414,Humewood-Cedarvale,59.0,2995.0
439489455,Zillow,484 Spadina Ave,3.0,2.0,1172.0,43.658295,-79.40076,University,17.0,5775.0
439505339,Zillow,9 Croham Rd,3.0,2.0,1327.0,43.693108,-79.46395,Briar Hill-Belgravia,100.0,3999.0
2055447608,Zillow,330 Spadina Rd,3.0,1.0,1283.0,43.683502,-79.41116,Casa Loma,29.0,4225.0
441856851,Zillow,1450 Sheppard Ave W,3.0,1.0,1202.0,43.74484,-79.48976,York University Heights,145.0,3528.0
350444258,Zillow,20 Carluke Cres,3.0,2.0,1118.0,43.761036,-79.3915,St.Andrew-Windfields,90.0,3149.0
439489741,Zillow,410 Dufferin St,3.0,2.0,900.0,43.647926,-79.4311,Little Portugal,38.0,3832.0
440335430,Zillow,1360 Danforth Rd,3.0,2.0,1215.0,43.744976,-79.245445,Eglinton East,138.0,2869.0
2070856163,Zillow,10 Lamport Ave,3.0,1.0,1483.0,43.67886,-79.37756,Rosedale-Moore Park,44.0,4500.0
347144785,Zillow,455 Wellington St W,3.0,3.0,1886.0,43.64315,-79.397194,Wellington Place,5.0,8500.0
