Property URL,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Image URL,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,Latitude,Longitude,Zillow property ID,Property is a building,Building name,Unit availability count
"https://www.zillow.com/homedetails/1440-Lawrence-Ave-W-601-Toronto-ON-M6L-1B4/441849339_zpid/","Condominium","20","10/17/2024","3050","","","","3","2","https://photos.zillowstatic.com/fp/9bd0bf554afeec73716e63138562a22a-p_e.jpg","No","No","# 601","1440 Lawrence Ave W","Toronto","NaN","43.70891","-79.47943","441849339","","",""
"https://www.zillow.com/homedetails/270-Scarlett-Rd-304-Toronto-ON-M6N-4X7/442005524_zpid/","Condominium","14","10/23/2024","3400","","","","3","2","https://photos.zillowstatic.com/fp/4047b6fb369edf47af9a2d10a0b0503e-p_e.jpg","No","No","# 304","270 Scarlett Rd","Toronto","NaN","43.67727","-79.50687","442005524","","",""
"https://www.zillow.com/homedetails/2885-Bayview-Ave-UNIT-813-Toronto-ON-M2K-0A3/441849345_zpid/","Condominium","20","10/17/2024","3200","","","","3","2","https://photos.zillowstatic.com/fp/6fa5630f172fada3c5a9bbbe1927538d-p_e.jpg","No","No","Unit 813","2885 Bayview Ave","Toronto","NaN","43.768616","-79.38807","441849345","","",""
"https://www.zillow.com/homedetails/120-Homewood-Ave-1509-Toronto-ON-M4Y-2J3/441849426_zpid/","Condominium","20","10/17/2024","3850","","","","3","2","https://photos.zillowstatic.com/fp/88e58ba1de3abb87d0f9ca35e8a4f00f-p_e.jpg","No","No","# 1509","120 Homewood Ave","Toronto","NaN","43.667175","-79.37632","441849426","","",""
"https://www.zillow.com/b/the-hampton-toronto-on-CgsFKd/","Building","20","10/17/2024","","","","","","","https://photos.zillowstatic.com/fp/c9c5f947f7a81cfd3a03e2204419b31c-p_e.jpg","","","","101 Roehampton Ave","Toronto","NaN","43.70837","-79.39539","43.70837--79.39539","Yes","Green-Five Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/the-hampton-toronto-on-CgsFKd/","Apartment","","","5895","","","","3","","","","","","101 Roehampton Ave","Toronto","NaN","","","","No","Unit located in: Green-Five Building",""
"https://www.zillow.com/b/building/43.63661,-79.40487_ll/","Building","20","10/17/2024","","","","","","","https://photos.zillowstatic.com/fp/4842435cc7c7479e053fc342c580fc0b-p_e.jpg","","","","215 Fort York Blvd","Toronto","NaN","43.63661","-79.40487","43.63661--79.40487","Yes","Green-Seven Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/building/43.63661,-79.40487_ll/","Apartment","","","3249","","","","3","","","","","","215 Fort York Blvd","Toronto","NaN","","","","No","Unit located in: Green-Seven Building",""
"https://www.zillow.com/homedetails/5444-Yonge-St-1011-Toronto-ON-M2N-6J4/2080593715_zpid/","Condominium","14","10/23/2024","3600","","","","3","2","https://photos.zillowstatic.com/fp/02f2cd43ae68d497b4f3e456c0e23a72-p_e.jpg","No","No","# 1011","5444 Yonge St","Toronto","NaN","43.776382","-79.415764","2080593715","","",""
"https://www.zillow.com/b/55-charles-st-e-toronto-on-BMLFRv/","Building","21","10/16/2024","","","","","","","https://photos.zillowstatic.com/fp/9995c5bf41ae97ec1bcede448cc11133-p_e.jpg","","","","55 Charles St E","Toronto","NaN","43.6689","-79.38353","43.6689--79.38353","Yes","Red-Three Building (Randomly generated building name as it is not provided by Zillow)","8"
