Property URL,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Image URL,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,Latitude,Longitude,Zillow property ID,Property is a building,Building name,Unit availability count
"https://www.zillow.com/homedetails/2033-Kennedy-Rd-603-Toronto-ON-M1T-3G2/2054620140_zpid/","Condominium","7","10/30/2024","4000","","","","4","2","https://photos.zillowstatic.com/fp/f9ce748147065cc684a4fb2fd2fc04e4-p_e.jpg","No","No","# 603","2033 Kennedy Rd","Toronto","NaN","43.777256","-79.28412","2054620140","","",""
"https://www.zillow.com/homedetails/1-Reidmount-Ave-1004-Toronto-ON-M1S-4V3/2079019932_zpid/","Condominium","13","10/24/2024","3600","","","","4","2","https://photos.zillowstatic.com/fp/768e8deda239d5e5d0b427643b5d59f1-p_e.jpg","No","No","# 1004","1 Reidmount Ave","Toronto","NaN","43.78462","-79.28532","2079019932","","",""
"https://www.zillow.com/homedetails/88-Grandview-Way-UNIT-1005-Toronto-ON-M2N-6V6/441976614_zpid/","Condominium","15","10/22/2024","4200","","","","4","2","https://photos.zillowstatic.com/fp/8c3efa8d6bd19157d48b7713d940ff46-p_e.jpg","No","No","Unit 1005","88 Grandview Way","Toronto","NaN","43.774525","-79.412155","441976614","","",""
"https://www.zillow.com/homedetails/10-Navy-Wharf-Ct-PENTHOUSE-5-Toronto-ON-M5V-3V2/2053828531_zpid/","Condominium","18","10/19/2024","12000","","","","4","3","https://photos.zillowstatic.com/fp/6b387dfca129a21429025b8a432efd0d-p_e.jpg","No","No","Penthouse 5","10 Navy Wharf Ct PENTHOUSE 5","Toronto","NaN","43.640324","-79.391754","2053828531","","",""
"https://www.zillow.com/homedetails/238-Bonis-Ave-1917-Toronto-ON-M1T-3W7/2065767566_zpid/","Condominium","12","10/25/2024","3500","","","","4","2","https://photos.zillowstatic.com/fp/8a7dfdf4664d68f8a836aec142bae96b-p_e.jpg","No","No","# 1917","238 Bonis Ave","Toronto","NaN","43.785908","-79.289856","2065767566","","",""
"https://www.zillow.com/homedetails/108-Rosedale-Heights-Dr-Toronto-ON-M4T-1C6/2060339551_zpid/","Apartment","19","10/18/2024","5950","","","","4","2","https://photos.zillowstatic.com/fp/a8f04cdbcefeabb6a5be45d47bb1fe12-p_e.jpg","No","No","","108 Rosedale Heights Dr","Toronto","NaN","43.68787","-79.378365","2060339551","","",""
"https://www.zillow.com/homedetails/43-Britain-St-102-Toronto-ON-M5A-1R7/2071850833_zpid/","Condominium","20","10/17/2024","8999","","","","4","2","https://photos.zillowstatic.com/fp/a385a8cb8c6cb7a2bf3783b0e87c1b2e-p_e.jpg","No","No","# 102","43 Britain St","Toronto","NaN","43.653687","-79.36994","2071850833","","",""
"https://www.zillow.com/homedetails/500-Wellington-St-W-402-Toronto-ON-M5V-1E3/2071888006_zpid/","Condominium","20","10/17/2024","11000","","","","4","4","https://photos.zillowstatic.com/fp/d9ea1c01a70b15b3ac344e6525d7148b-p_e.jpg","No","No","# 402","500 Wellington St W","Toronto","NaN","43.64389","-79.39885","2071888006","","",""
"https://www.zillow.com/homedetails/12-Yonge-St-2803-Toronto-ON-M5E-1Z9/441835617_zpid/","Condominium","21","10/16/2024","4950","","","","4","2","https://photos.zillowstatic.com/fp/72726be69f0cb9e174c3db14179a732d-p_e.jpg","No","No","# 2803","12 Yonge St","Toronto","NaN","43.64316","-79.37626","441835617","","",""
"https://www.zillow.com/b/building/43.655045,-79.38902_ll/","Building","21","10/16/2024","","","","","","","https://photos.zillowstatic.com/fp/5563ffe59b7f07d1990629f3a70de40c-p_e.jpg","","","","488 University Ave","Toronto","NaN","43.655045","-79.38902","43.655045--79.38902","Yes","Red-Two Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/building/43.655045,-79.38902_ll/","Apartment","","","4999","","","","4","","","","","","488 University Ave","Toronto","NaN","","","","No","Unit located in: Red-Two Building",""
"https://www.zillow.com/homedetails/8-Olympic-Garden-Dr-S507-Toronto-ON-M2M-0B9/441818756_zpid/","Condominium","21","10/16/2024","4350","","","","4","3","https://photos.zillowstatic.com/fp/0000549a93b1bdd36de0d14dc47e6e59-p_e.jpg","No","No","# S507","8 Olympic Garden Dr","Toronto","NaN","43.78492","-79.41627","441818756","","",""
"https://www.zillow.com/homedetails/60-Shuter-St-206-Toronto-ON-M5B-1B1/2071536324_zpid/","Condominium","23","10/14/2024","4300","","","","4","2","https://photos.zillowstatic.com/fp/e44750e982a653b55f70bffa43d9fe79-p_e.jpg","No","No","# 206","60 Shuter St","Toronto","NaN","43.655106","-79.37625","2071536324","","",""
"https://www.zillow.com/homedetails/68-Corporate-Dr-PENTHOUSE-39-Toronto-ON-M1H-3H3/442016144_zpid/","Condominium","14","10/23/2024","3200","","","","4","2","https://photos.zillowstatic.com/fp/72501c0dfbeccfe65f291409f5ff6fbe-p_e.jpg","No","No","# Penthouse 39","68 Corporate Dr  39","Toronto","NaN","43.780537","-79.25101","442016144","","",""
"https://www.zillow.com/homedetails/8-McKee-Ave-1006-Toronto-ON-M2N-7E5/441747660_zpid/","Condominium","26","10/11/2024","4600","","","","4","2","https://photos.zillowstatic.com/fp/91521426ed8d0228de1a9fc3fc18f03b-p_e.jpg","No","No","# 1006","8 McKee Ave","Toronto","NaN","43.77339","-79.41304","441747660","","",""
"https://www.zillow.com/homedetails/5418-Yonge-St-902-Toronto-ON-M2N-6X4/2057674146_zpid/","Condominium","27","10/10/2024","4100","","","","4","2","https://photos.zillowstatic.com/fp/6bed9dbe04da03199b8d2dbe840ea659-p_e.jpg","No","No","# 902","5418 Yonge St","Toronto","NaN","43.77553","-79.41525","2057674146","","",""
"https://www.zillow.com/homedetails/150-Heath-St-W-602-Toronto-ON-M4V-2Y4/2054553079_zpid/","Condominium","29","10/08/2024","10000","","","","4","3","https://photos.zillowstatic.com/fp/a8cf327d602e419ceea04380f0497a6d-p_e.jpg","No","No","# 602","150 Heath St W","Toronto","NaN","43.689075","-79.40305","2054553079","","",""
